yr	co2_uptake	co2_em
1990	-11,8	51,26
1991	-12,8	48,91
1992	-12,3	47,38
1993	-13,2	49,31
1994	-12,1	51,26
1995	-14,5	51,67
1996	-10,1	54,56
1997	-12,9	54,54
1998	-14,2	54,61
1999	-19,6	55,61
2000	-17	55
2001	-21,7	56,25
2002	-23,1	54,94
2003	-22,3	55,54
2004	-22,9	55,91
2005	-24,8	54,79
2006	-19,9	54,76
2007	-21,5	56,45
2008	-26,4	54,93
2009	-25	52,44
2010	-26,3	54,73
2011	-25,6	53,8
2012	-24,7	53,17
2013	-21,2	53,41
2014	-18,9	53,81
2015	-15,1	54,32
2016	-13,7	53,44
2017	-16	52,75
2018	-13	52,84
2019	-8,8	51,08
2020	-16,1	49,43
2021	-11,8	49,26
2022	-13,8	48,88
2023		46,6
