name	station	date	rain_mm
Oslo - Blindern	SN18700	01.03.1937	10,6
Oslo - Blindern	SN18700	02.03.1937	5,4
Oslo - Blindern	SN18700	03.03.1937	1,2
Oslo - Blindern	SN18700	04.03.1937	4,8
Oslo - Blindern	SN18700	05.03.1937	0
Oslo - Blindern	SN18700	06.03.1937	0,8
Oslo - Blindern	SN18700	07.03.1937	0
Oslo - Blindern	SN18700	08.03.1937	0
Oslo - Blindern	SN18700	09.03.1937	0
Oslo - Blindern	SN18700	10.03.1937	0
Oslo - Blindern	SN18700	11.03.1937	0
Oslo - Blindern	SN18700	12.03.1937	0,1
Oslo - Blindern	SN18700	13.03.1937	0,5
Oslo - Blindern	SN18700	14.03.1937	0,7
Oslo - Blindern	SN18700	15.03.1937	0,5
Oslo - Blindern	SN18700	16.03.1937	10
Oslo - Blindern	SN18700	17.03.1937	2,1
Oslo - Blindern	SN18700	18.03.1937	0
Oslo - Blindern	SN18700	19.03.1937	0
Oslo - Blindern	SN18700	20.03.1937	0,1
Oslo - Blindern	SN18700	21.03.1937	0
Oslo - Blindern	SN18700	22.03.1937	0
Oslo - Blindern	SN18700	23.03.1937	0
Oslo - Blindern	SN18700	24.03.1937	0
Oslo - Blindern	SN18700	25.03.1937	0
Oslo - Blindern	SN18700	26.03.1937	2,7
Oslo - Blindern	SN18700	27.03.1937	0,8
Oslo - Blindern	SN18700	28.03.1937	0
Oslo - Blindern	SN18700	29.03.1937	0
Oslo - Blindern	SN18700	30.03.1937	0
Oslo - Blindern	SN18700	31.03.1937	0
Oslo - Blindern	SN18700	01.04.1937	0
Oslo - Blindern	SN18700	02.04.1937	0
Oslo - Blindern	SN18700	03.04.1937	0,1
Oslo - Blindern	SN18700	04.04.1937	1,4
Oslo - Blindern	SN18700	05.04.1937	0
Oslo - Blindern	SN18700	06.04.1937	2
Oslo - Blindern	SN18700	07.04.1937	0,7
Oslo - Blindern	SN18700	08.04.1937	0
Oslo - Blindern	SN18700	09.04.1937	1,4
Oslo - Blindern	SN18700	10.04.1937	2,4
Oslo - Blindern	SN18700	11.04.1937	0
Oslo - Blindern	SN18700	12.04.1937	0
