MMDD,   CLIMO,    2013,    2014,    2015,    2016,    2017,    2018,    2019,    2020,    2021,    2022,    2023,    2024,    2025
0101,  23.362,     NaN,  20.276,  25.870,  18.971,  20.846,  22.891,  13.599,  26.630,  25.787,  22.025,  18.112,  37.510,     NaN
0102,  22.866,  25.839,     NaN,  26.127,     NaN,  20.350,  21.745,  13.312,  26.024,  24.758,  21.556,  17.516,  36.800,  33.789
0103,  22.380,  20.903,  18.892,  24.081,  18.123,  19.864,  21.468,  12.622,  25.767,  23.498,  21.026,  17.338,  36.310,     NaN
0104,  21.908,  22.018,  20.059,  22.914,  18.086,  19.435,  21.439,  11.898,  25.380,  22.297,  20.374,  17.103,  35.671,     NaN
0105,  21.445,  21.172,  20.234,  22.478,  18.080,  19.000,  21.216,  11.546,  25.253,  21.472,  19.510,  16.402,  35.224,     NaN
0106,  20.991,  20.671,  19.296,  21.080,  17.662,  18.143,  20.903,  11.268,  25.329,  20.780,  19.238,  15.645,  34.645,     NaN
0107,  20.543,  19.794,  19.155,  19.858,  17.937,  17.494,  20.503,  11.334,  24.631,  20.088,  18.783,  15.247,  34.174,     NaN
0108,  20.103,  19.076,  19.086,  18.860,  17.684,  16.500,  19.506,  10.962,  23.273,  19.266,  17.662,  14.606,  32.133,     NaN
0109,  19.670,  18.302,  19.312,  18.489,  17.995,  17.018,  18.686,  10.659,  22.571,  18.832,  17.292,  14.474,  32.168,     NaN
0110,  19.246,  17.655,  18.503,  18.345,  18.323,  16.429,  18.280,  10.374,  22.291,  17.855,  17.075,  14.497,  31.122,     NaN
0111,  18.827,  18.039,  17.601,  18.352,  18.805,  16.051,  17.763,  10.256,  21.781,  17.651,  16.734,  14.506,  30.452,     NaN
0112,  18.416,  17.364,  16.707,  17.193,  18.611,  15.849,  17.803,  10.170,  21.138,  17.547,  16.107,  14.334,  30.045,     NaN
0113,  18.011,  17.367,  15.995,  17.383,  18.014,  15.591,  17.192,  10.255,  20.390,  17.539,  15.996,  13.956,  29.805,     NaN
0114,  17.609,  17.612,  15.865,  16.895,  15.971,  14.869,  16.687,  10.230,  19.519,  16.938,  15.941,  13.896,  29.780,     NaN
0115,  17.210,  17.828,  15.154,  16.726,  16.245,  14.428,  16.807,  10.184,  18.452,  16.415,  15.558,  13.879,  29.683,     NaN
