Year	Month	Three_Component_Index	News_Based_Policy_Uncert_Index
1985	1	125	104
1985	2	99	78
1985	3	112	101
1985	4	103	85
1985	5	120	98
1985	6	133	120
1985	7	128	111
1985	8	127	111
1985	9	127	111
1985	10	116	93
1985	11	122	85
1985	12	133	104
1986	1	156	144
1986	2	159	119
1986	3	160	120
1986	4	150	102
1986	5	133	132
1986	6	123	115
1986	7	132	131
1986	8	128	118
1986	9	132	126
1986	10	112	92
1986	11	115	98
1986	12	109	88
1987	1	122	110
1987	2	109	77
1987	3	122	99
1987	4	111	80
1987	5	110	88
1987	6	121	107
1987	7	106	81
1987	8	75	53
1987	9	79	60
1987	10	144	170
1987	11	155	183
1987	12	135	149
1988	1	132	143
1988	2	117	102
1988	3	105	82
1988	4	114	98
1988	5	96	99
1988	6	90	88
1988	7	85	81
1988	8	100	95
1988	9	95	85
1988	10	102	98
1988	11	114	102
1988	12	100	78
1989	1	105	87
1989	2	85	51
1989	3	97	73
1989	4	109	92
1989	5	88	84
1989	6	95	96
1989	7	85	78
1989	8	96	83
1989	9	91	75
1989	10	92	76
1989	11	108	105
1989	12	107	104
1990	1	100	92
1990	2	90	110
1990	3	86	104
1990	4	77	88
1990	5	119	97
1990	6	121	101
1990	7	112	86
1990	8	142	139
1990	9	158	166
1990	10	141	138
1990	11	145	152
1990	12	134	134
1991	1	176	204
1991	2	115	107
1991	3	116	108
1991	4	107	93
1991	5	95	82
1991	6	97	86
1991	7	94	81
1991	8	101	99
1991	9	117	127
1991	10	106	108
1991	11	122	141
1991	12	140	171
1992	1	109	116
1992	2	126	155
1992	3	92	97
1992	4	88	90
1992	5	97	79
1992	6	122	122
1992	7	121	120
1992	8	116	122
1992	9	127	141
1992	10	139	161
1992	11	119	108
1992	12	107	88
1993	1	103	83
1993	2	120	107
1993	3	122	110
1993	4	109	90
1993	5	134	134
1993	6	126	121
1993	7	118	107
1993	8	106	116
1993	9	106	116
1993	10	84	79
1993	11	85	89
1993	12	78	77
1994	1	80	82
1994	2	95	96
1994	3	87	83
1994	4	100	106
1994	5	97	95
1994	6	92	87
1994	7	85	75
1994	8	93	89
1994	9	91	85
1994	10	76	62
1994	11	92	95
1994	12	92	95
1995	1	108	122
1995	2	86	101
1995	3	78	86
1995	4	66	66
1995	5	75	67
1995	6	80	76
1995	7	83	82
1995	8	67	56
1995	9	75	70
1995	10	81	80
1995	11	91	101
1995	12	84	91
1996	1	91	102
