biochem	r2	mse_train	mse_test	n	
X - 11850	0,459	0,41	0,40	8583	
X - 12261	0,418	0,18	0,18	8583	
X - 11843	0,417	0,37	0,38	8583	
X - 12013	0,405	0,30	0,31	8583	
p-cresol sulfate	0,358	0,06	0,06	8583	
X - 12816	0,348	0,11	0,11	8583	
isoursodeoxycholate	0,339	0,22	0,22	8583	
X - 16124	0,319	1,47	1,45	8583	
phenylacetylglutamine	0,315	0,04	0,04	8583	
p-cresol glucuronide*	0,309	0,20	0,21	8583	
X - 23662	0,309	0,26	0,26	8583	
3-phenylpropionate (hydrocinnamate)	0,291	0,11	0,11	8583	
X - 21442	0,287	0,26	0,26	8583	
X - 12216	0,279	0,11	0,11	8583	
phenylacetate	0,274	0,11	0,11	8583	
X - 17354	0,273	0,24	0,23	8583	
quinate	0,270	0,12	0,12	8582	
cinnamoylglycine	0,268	0,15	0,15	8583	
phenol sulfate	0,266	0,11	0,11	8583	
5alpha-androstan-3beta,17alpha-diol disulfate	0,264	0,22	0,22	8583	
phenylacetylglutamate	0,263	0,11	0,11	8583	
1H-indole-7-acetic acid	0,251	0,08	0,08	3811	
X - 18935	0,248	0,12	0,12	3811	
ursodeoxycholate	0,246	0,27	0,27	8583	
X - 12851	0,245	0,40	0,41	8583	
deoxycholic acid 12-sulfate*	0,245	0,19	0,19	8583	
branched chain 14:0 dicarboxylic acid**	0,238	0,10	0,10	8583	
glycoursodeoxycholic acid sulfate (1)	0,233	0,29	0,28	8583	
5-hydroxyhexanoate	0,227	0,08	0,08	8583	
X - 24811	0,225	0,12	0,13	8583	
X - 22509	0,222	0,28	0,27	8583	
deoxycholate	0,222	0,12	0,12	8583	
X - 23639	0,219	0,03	0,03	8583	
X - 23997	0,218	0,11	0,11	8583	
beta-cryptoxanthin	0,216	0,14	0,14	8583	
X - 24531	0,212	0,11	0,11	3811	
trigonelline (N'-methylnicotinate)	0,211	0,12	0,12	8583	
X - 11315	0,211	0,04	0,04	8583	
X - 12126	0,204	0,15	0,16	8583	
glycoursodeoxycholate	0,198	0,26	0,26	8583	
X - 21752	0,197	0,39	0,39	8583	
hyocholate	0,195	0,17	0,17	8583	
carotene diol (1)	0,188	0,04	0,04	8583	
X - 12544	0,187	0,92	0,91	8583	
2-piperidinone	0,187	0,27	0,27	8583	
X - 12306	0,186	0,20	0,19	8583	
imidazole propionate	0,186	0,09	0,09	8583	
carotene diol (2)	0,185	0,05	0,05	8583	
cholate	0,183	0,52	0,53	8583	
levulinate (4-oxovalerate)	0,180	0,08	0,08	3811	
cholic acid glucuronide	0,179	0,22	0,21	8583	
hippurate	0,179	0,10	0,10	8583	
indolepropionate	0,178	0,13	0,12	8583	
X - 23655	0,173	0,21	0,21	8583	
3-hydroxypyridine sulfate	0,173	0,21	0,20	8583	
4-ethylcatechol sulfate	0,172	0,17	0,17	8583	
11beta-hydroxyetiocholanolone glucuronide*	0,167	0,09	0,09	8583	
X - 13729	0,164	0,09	0,09	8583	
1,3-dimethylurate	0,163	0,09	0,09	8583	
X - 21821	0,162	0,14	0,14	8583	
X - 15728	0,162	0,27	0,27	8583	
1-methylxanthine	0,161	0,11	0,11	8583	
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0,160	0,02	0,02	8583	
5-acetylamino-6-amino-3-methyluracil	0,158	0,10	0,10	8582	
X - 22834	0,155	0,16	0,16	8583	
X - 21733	0,152	0,12	0,12	8583	
4-hydroxycoumarin	0,150	0,07	0,07	8583	
chenodeoxycholate	0,149	0,22	0,23	8583	
phenol glucuronide	0,147	0,24	0,23	8583	
X - 22520	0,147	0,17	0,17	3811	
indole-3-carboxylate	0,147	0,04	0,04	8583	
glycodeoxycholate 3-sulfate	0,147	0,19	0,18	8583	
X - 24410	0,146	0,16	0,16	3811	
X - 12283	0,146	0,13	0,13	8583	
phenylacetylcarnitine	0,145	0,13	0,13	8583	
taurolithocholate 3-sulfate	0,144	0,15	0,15	8583	
3-ethylcatechol sulfate (1)	0,144	0,17	0,17	8583	
3-(3-hydroxyphenyl)propionate	0,142	0,40	0,39	8583	
androstenediol (3beta,17beta) disulfate (1)	0,140	0,16	0,15	8583	
X - 25503	0,136	0,19	0,20	8583	
N-acetyl-cadaverine	0,135	0,14	0,13	3811	
catechol sulfate	0,134	0,08	0,08	8583	
X - 13844	0,134	0,19	0,19	8583	
chenodeoxycholic acid sulfate (1)	0,134	0,15	0,16	3811	
1-methylurate	0,133	0,11	0,11	8583	
ursocholate	0,132	0,05	0,06	3811	
X - 17612	0,131	0,14	0,14	4772	
X - 17351	0,131	0,14	0,14	8583	
metabolonic lactone sulfate	0,131	0,11	0,11	8583	
hydroxy-CMPF*	0,130	0,12	0,12	8583	
lithocholate sulfate (1)	0,129	0,16	0,16	8583	
3-methyl catechol sulfate (1)	0,128	0,20	0,20	8583	
indoleacetate	0,127	0,06	0,06	8583	
X - 21286	0,126	0,07	0,07	8583	
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	0,124	0,02	0,02	8583	
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	0,124	0,02	0,02	8583	
propionylcarnitine (C3)	0,123	0,02	0,02	8583	
4-acetylcatechol sulfate (1)	0,122	0,20	0,20	8583	
glycodeoxycholate	0,121	0,26	0,26	8583	
oxalate (ethanedioate)	0,121	0,02	0,02	8583	
1,5-anhydroglucitol (1,5-AG)	0,119	0,03	0,03	8583	
glycolithocholate sulfate*	0,117	0,12	0,12	8583	
deoxycholic acid glucuronide	0,115	0,19	0,19	8583	
2,3-dihydroxypyridine	0,112	0,18	0,17	8583	
X - 23587	0,112	0,17	0,17	8583	
X - 26119	0,112	0,07	0,08	1891	
taurodeoxycholate	0,111	0,32	0,32	8583	
3-hydroxyhippurate	0,109	0,31	0,30	8583	
glutarate (C5-DC)	0,108	0,11	0,12	8582	
glycerate	0,108	0,02	0,02	8582	
gamma-glutamylisoleucine*	0,108	0,02	0,02	8583	
X - 24475	0,107	0,22	0,22	8583	
sphingomyelin (d18:2/24:2)*	0,107	0,02	0,02	8583	
4-methylguaiacol sulfate	0,107	0,31	0,30	8583	
citramalate	0,106	0,06	0,06	8583	
X - 15461	0,106	0,02	0,02	8583	
X - 18901	0,105	0,42	0,41	8583	
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	0,105	0,01	0,01	8583	
6-hydroxyindole sulfate	0,105	0,06	0,06	8583	
carotene diol (3)	0,105	0,09	0,09	8583	
X - 22162	0,104	0,02	0,02	8583	
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	0,104	0,04	0,04	8583	
glutamate	0,104	0,04	0,04	8583	
