PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
1533	(12 or 13)-methylmyristate (a15:0 or i15:0)	Lipid	Fatty Acid, Branched	38293	LC/MS Neg	100002344	5499	241,2173	151014	2485-71-4		
1538	(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	Fatty Acid, Branched	38768	LC/MS Neg	100002945	5695	269,2487				
1544	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356	5993	297,2799	3083779	2724-59-6		HMDB37397
1397	(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	63436	LC/MS Neg	100021502	4990	169,1234				
4934	(2,4 or 2,5)-dimethylphenol sulfate	Xenobiotics	Food Component/Plant	62533	LC/MS Neg	100020519	3474	201,0227				
5784	(2-butoxyethoxy)acetic acid	Xenobiotics	Chemical	63380	LC/MS Pos Early	100021457	3177	177,1121	106312			
497	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	57814	LC/MS Pos Early	100016038	3080	188,1757				
1798	(R)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	43264	LC/MS Pos Early	100003926	2400	248,1493	53481617			HMDB13127
1799	(S)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	52984	LC/MS Pos Early	100009271	2340	248,1493				
4942	(S)-a-amino-omega-caprolactam	Xenobiotics	Food Component/Plant	63339	LC/MS Pos Early	100021329	2378	129,1022	439823	21568-87-6	C05328	
5749	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	48762	LC/MS Neg	100006374	1709	204,9812				
2215	1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	52603	LC/MS Pos Late	100008903	2006	782,5694	5288075	998-06-1		HMDB08138
2305	1,2-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phosphatidylethanolamine (PE)	53174	LC/MS Pos Late	100009217	2083	740,5225	9546812			HMDB09093
2137	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	19130	LC/MS Pos Late	100000657	2365	734,5694	452110	63-89-8		HMDB00564
2258	1,2-dipalmitoyl-GPE (16:0/16:0)*	Lipid	Phosphatidylethanolamine (PE)	57341	LC/MS Pos Late	100009204	2498	692,5225	445468			HMDB08923
4376	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397	1985	209,068	79437	5415-44-1	C16361	HMDB02123
