year	national_park	nature_reserve	protected_landscape_area	other_protected_area
1975	5087	148	216	1
1980	6228	219	638	2
1985	9650	895	1795	52
1990	12558	1427	4229	102
1995	13788	2210	4659	108
2000	13868	2796	7798	93
2005	22193	3805	14163	127
2006	26778	4159	15077	412
2007	26778	4266	15075	432
2008	26774	4726	15217	427
2009	29582	4774	16291	427
2010	29960	4958	16288	427
2011	31046	5645	17322	390
2012	31265	5623	17281	388
2013	31281	5788	17274	388
2014	31280	5992	17273	388
2015	31285	6255	17246	387
2016	31295	6445	17234	387
2017	31349	6795	17272	388
2018	31587	7118	17228	395
2019	31524	7401	17262	394
2020	31614	7554	17247	393
2021	31614	7645	17247	393
2022	31618	7756	17246	392
2023	31673	7932	17246	392
