date	us_allocated_bn_eur	europe_allocated_bn_eur
01.01.2022	0,00	0,00
01.02.2022	0,36	3,02
01.03.2022	1,10	3,69
01.04.2022	2,30	6,15
01.05.2022	1,08	3,79
01.06.2022	4,64	2,34
01.07.2022	3,52	3,41
01.08.2022	9,69	2,54
01.09.2022	2,43	2,07
01.10.2022	1,65	3,68
01.11.2022	5,61	5,16
01.12.2022	2,62	2,86
01.01.2023	5,34	8,40
01.02.2023	6,66	2,52
01.03.2023	0,70	4,18
01.04.2023	4,95	4,14
01.05.2023	2,26	4,72
01.06.2023	3,94	3,64
01.07.2023	2,71	3,76
01.08.2023	0,41	5,37
01.09.2023	4,61	2,66
01.10.2023	0,33	2,91
01.11.2023	0,51	1,83
01.12.2023	0,57	5,38
01.01.2024	0,00	1,91
01.02.2024	0,00	4,14
01.03.2024	0,28	6,28
01.04.2024	6,75	3,87
01.05.2024	0,72	1,97
01.06.2024	0,92	5,66
01.07.2024	3,94	2,21
01.08.2024	3,77	4,49
01.09.2024	2,98	3,94
01.10.2024	19,33	2,57
01.11.2024	0,66	0,79
01.12.2024	6,81	5,56
