pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
Ipsos/Dagbladet	29.09.2017	26,1 (49)	24,4 (45)	14,4 (27)	7,4 (14)	10,2 (19)	3,9 (3)	5,4 (10)	3,3 (1)	2,7 (19)	2,3 (0)
Norstat/VL	28.09.2017	24,9 (46)	25,1 (46)	15,0 (28)	7,3 (14)	11,3 (21)	3,2 (2)	4,7 (9)	2,8 (1)	3,7 (2)	1,9 (0)
Sentio/DN	21.09.2017	26,2 (49)	26,8 (51)	14,7 (28)	6,4 (12)	11,4 (21)	3,9 (3)	3,9 (3)	3,3 (1)	2,4 (1)	0,9 (0)
Verian/TV2	09.09.2017	28,1 (51)	23,8 (43)	14,6 (26)	5,6 (10)	10,2 (19)	4,4 (8)	4,6 (8)	3,9 (3)	3,1 (1)	1,7 (0)
Norstat/Norstat	08.09.2017	27,2 (51)	23,9 (42)	14,8 (27)	6,7 (12)	10,0 (18)	4,6 (8)	3,2 (1)	4,4 (8)	3,0 (2)	2,2 (0)
Verian/TV2	08.09.2017	28,6 (52)	23,4 (42)	15,2 (27)	5,5 (10)	10,5 (19)	4,3 (8)	3,9 (3)	4,0 (7)	3,3 (1)	1,3 (0)
Opinion/ANB	08.09.2017	26,4 (47)	25,9 (47)	15,3 (28)	6,0 (11)	8,6 (15)	3,4 (2)	2,5 (0)	5,7 (10)	4,9 (9)	1,3 (0)
InFact/VG	08.09.2017	28,0 (51)	21,5 (37)	12,6 (22)	8,1 (14)	10,7 (18)	4,7 (8)	5,2 (9)	4,4 (8)	3,3 (2)	1,5 (0)
Norfakta/Nat. / KK	08.09.2017	26,3 (48)	25,8 (44)	13,8 (24)	5,0 (9)	10,5 (18)	5,3 (9)	4,2 (7)	4,5 (8)	3,1 (2)	0,0 (0)
Verian/TV2	07.09.2017	28,1 (51)	23,4 (42)	15,2 (28)	5,7 (10)	10,1 (18)	5,0 (9)	4,1 (7)	3,7 (3)	3,0 (1)	1,8 (0)
