Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
57983704,"Jun 3, 2013, 4:19:36 PM","06/03/2013 Oslo, Norway, Oslo, Norway",Ride,"",480,5.12,239.0,10,false,,Focusen,activities/63780348.tcx.gz,73.0,7.880000114440918,480.0,462.0,5126.60009765625,15.600000381469727,,0.0,334.79998779296875,159.1999969482422,495.5,10600.0,-6.530640125274658,,,,,239.0,183.40499877929688,,57.73809814453125,29.74262809753418,,,10.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,773902.0,,,,,,,,,,,,,,,,,,,,,,,,,""
57983708,"Jun 3, 2013, 3:54:59 PM","06/03/2013 Oslo, Oslo, Norway",Ride,,1413,5.46,194.0,41,false,,Focusen,activities/63780350.tcx.gz,73.0,7.880000114440918,1413.0,1413.0,5464.0,4.900000095367432,,360.8399963378906,-6.860000133514404,150.3000030517578,518.0,22.399999618530273,6.729499816894531,,,,,194.0,182.99200439453125,,233.04299926757812,367.1580810546875,,,41.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,773902.0,,,,,,,,,,,,,,,,,,,,,,,,,""
57983710,"Jun 1, 2013, 12:50:09 PM","06/01/2013 Oslo, Oslo, Norway",Ride,,673,3.67,183.0,16,false,,,activities/63780358.tcx.gz,73.0,,673.0,631.0,3676.60009765625,10.399999618530273,,87.9000015258789,-0.699999988079071,101.4000015258789,194.89999389648438,12.199999809265137,2.4098401069641113,,,,,183.0,173.6219940185547,,,,,,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983720,"May 29, 2013, 6:05:58 PM","05/29/2013 Oslo, Norway, Oslo, Norway",Ride,"",1465,11.24,174.0,13,false,,,activities/63780363.tcx.gz,73.0,,1465.0,1438.0,11247.2001953125,15.699999809265137,,0.0,474.3999938964844,44.79999923706055,519.4000244140625,89.19999694824219,-4.217939853668213,,,,,174.0,139.56900024414062,,76.79969787597656,123.13833618164062,,,13.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983727,"May 29, 2013, 5:39:56 PM","05/29/2013 Oslo, Oslo, Norway",Ride,,1492,5.44,190.0,41,false,,,activities/63780368.tcx.gz,73.0,,1492.0,1468.0,5445.39990234375,5.300000190734863,,360.7330017089844,1.9329999685287476,160.60000610351562,519.5,14.199999809265137,6.589049816131592,,,,,190.0,181.03199768066406,,,,,,41.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983730,"May 29, 2013, 5:06:31 PM","05/29/2013 Oslo, Oslo, Norway",Ride,,249,1.12,154.0,2,false,,,activities/63780380.tcx.gz,73.0,,249.0,226.0,1127.4000244140625,7.099999904632568,,10.920000076293945,4.420000076293945,47.400001525878906,59.79999923706055,81.0999984741211,0.5765479803085327,,,,,154.0,141.17799377441406,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983733,"May 29, 2013, 5:10:45 PM","05/29/2013 Oslo, Oslo, Norway",Ride,,1713,5.62,183.0,24,false,,,activities/63780378.tcx.gz,73.0,,1713.0,1333.0,5625.5,13.100000381469727,,133.50900268554688,31.80900001525879,54.29999923706055,164.3000030517578,183.8000030517578,1.8078399896621704,,,,,183.0,159.2729949951172,,,,,,24.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983750,"May 26, 2013, 10:28:17 AM","05/26/2013 Oslo, Oslo, Norway",Ride,,7952,45.49,237.0,182,false,,Focusen,activities/63780386.tcx.gz,73.0,7.880000114440918,7952.0,7915.0,45491.30078125,16.0,,1028.1099853515625,924.7100219726562,56.5,442.3999938964844,67.9000015258789,0.22729599475860596,,,,,237.0,171.08599853515625,,201.2480010986328,1776.058837890625,,,182.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,773902.0,,,,,,,,,,,,,,,,,,,,,,,,,""
57983751,"May 11, 2013, 11:54:24 AM","05/11/2013 Oslo, Oslo, Norway",Ride,,1158,7.50,174.0,16,false,,,activities/63780397.tcx.gz,73.0,,1158.0,1130.0,7502.39990234375,13.199999809265137,,10.140000343322754,128.83999633789062,40.20000076293945,161.60000610351562,17.399999618530273,-1.5821599960327148,,,,,174.0,159.62399291992188,,,,,,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
57983754,"May 20, 2013, 9:21:16 AM","05/20/2013 Oslo, Oslo, Norway",Ride,,3920,26.09,182.0,80,false,,Focusen,activities/63780388.tcx.gz,73.0,7.880000114440918,3920.0,3871.0,26091.30078125,14.5,,349.3580017089844,207.25799560546875,45.5,219.0,75.80000305175781,0.544625997543335,,,,,182.0,160.8820037841797,,180.07699584960938,777.2420654296875,,,80.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,773902.0,,,,,,,,,,,,,,,,,,,,,,,,,""
