pollster	date	Ap	H	Frp	SV	Sp	KrF	V	MDG	R	Other
Norstat/NRK	22.05.2025	29,4 (54)	18,4 (32)	20,6 (40)	6,5 (12)	5,5 (10)	3,5 (2)	4,0 (7)	3,1 (2)	5,4 (10)	3,7 (0)
Opinion/DA / FF / ANB	21.05.2025	27,5 (50)	17,9 (33)	21,0 (42)	7,2 (13)	6,2 (11)	3,4 (3)	4,2 (8)	2,7 (1)	4,3 (8)	5,6 (0)
Respons/VG / Aftenp. / BT	13.05.2025	29,3 (55)	18,6 (33)	21,1 (41)	6,9 (10)	5,2 (8)	4,3 (7)	4,8 (7)	2,6 (1)	4,9 (7)	2,2 (0)
Norfakta/Nat. / KK	10.05.2025	28,4 (54)	20,7 (38)	17,5 (34)	7,0 (11)	6,1 (9)	4,2 (6)	4,2 (7)	2,5 (1)	6,0 (9)	3,6 (0)
Opinion/ABC / AT	08.05.2025	26,0 (49)	18,5 (33)	23,9 (46)	6,5 (11)	5,4 (9)	3,6 (3)	4,6 (8)	2,5 (1)	5,0 (9)	3,9 (0)
InFact/Nettavisen	07.05.2025	29,0 (54)	18,6 (35)	21,2 (40)	7,3 (14)	5,8 (11)	3,0 (2)	3,0 (2)	2,8 (1)	5,5 (10)	3,7 (0)
Verian/TV2	06.05.2025	30,0 (54)	18,1 (32)	19,0 (37)	7,4 (12)	5,8 (9)	4,6 (8)	4,2 (7)	2,5 (1)	5,4 (9)	3,1 (0)
Norstat/NRK / VL / Dagbl.	06.05.2025	28,4 (54)	19,1 (33)	20,3 (40)	7,1 (12)	5,3 (10)	2,3 (1)	4,0 (7)	3,1 (2)	5,5 (10)	4,9 (0)
Opinion/DA / FF / ANB	18.06.2025	26,8 (53)	14,2 (25)	22,8 (43)	7,0 (12)	5,4 (10)	3,3 (3)	5,1 (9)	2,3 (1)	7,3 (13)	5,8 (0)
Respons/VG / Aftenp. / BT	18.06.2025	25,1 (48)	16,9 (30)	22,0 (41)	8,8 (16)	5,9 (10)	3,3 (2)	4,8 (8)	3,4 (3)	6,0 (11)	3,8 (0)
Norstat/NRK / VL / Dagbl.	17.06.2025	30,0 (55)	15,8 (28)	21,3 (40)	8,0 (14)	5,3 (10)	3,3 (3)	4,2 (8)	2,1 (1)	5,6 (10)	4,6 (0)
Norfakta/Nat. / KK	07.06.2025	27,3 (50)	18,2 (32)	21,5 (42)	5,5 (10)	5,9 (10)	3,5 (3)	4,6 (8)	3,7 (3)	6,3 (11)	3,4 (0)
Opinion/ABC / AT	05.06.2025	30,9 (62)	13,9 (24)	19,6 (39)	5,5 (9)	4,6 (7)	4,6 (7)	5,3 (9)	3,8 (3)	5,7 (9)	6,1 (0)
InFact/Nettavisen	04.06.2025	26,7 (50)	17,0 (30)	21,0 (40)	8,7 (14)	5,5 (9)	4,0 (7)	4,6 (8)	2,2 (1)	6,1 (10)	4,2 (0)
Verian/TV2	02.06.2025	31,6 (59)	17,5 (32)	19,1 (36)	5,0 (9)	6,3 (12)	3,9 (3)	2,7 (2)	3,8 (3)	6,6 (12)	3,5 (1)
Norfakta/Nat. / KK	05.07.2025	26,9 (50)	15,7 (27)	19,2 (37)	8,9 (15)	5,8 (10)	3,7 (3)	5,0 (9)	4,4 (7)	6,6 (11)	3,6 (0)
InFact/Nettavisen	02.07.2025	25,2 (49)	14,8 (26)	23,9 (45)	7,9 (14)	7,2 (12)	3,2 (2)	4,4 (8)	2,8 (2)	6,1 (11)	4,6 (0)
