polllster;date;AP;H;Frp;SV;Sp;Krf;V;MDG;R;Other
InFact/VG;31.08.2017;29,0 (54);21,5 (39);13,0 (23);6,6 (12);11,2 (20);5,5 (10);3,4 (1);4,8 (9);3,1 (1);2,0 (0)
Verian/TV2;31.08.2017;27,1 (50);25,0 (47);14,9 (28);5,3 (10);11,1 (21);4,1 (8);3,8 (3);3,2 (1);3,3 (1);2,4 (0)
Respons/Aftenp / BT / Adressa;31.08.2017;26,1 (48);23,9 (41);16,6 (30);6,2 (10);8,8 (14);5,4 (9);4,9 (8);4,7 (8);2,4 (1);1,0 (0)
Norstat/VL;31.08.2017;25,6 (47);24,2 (43);16,7 (30);5,2 (9);10,3 (19);4,9 (9);3,1 (1);5,2 (9);3,8 (2);1,7 (0)
Verian/TV2;30.08.2017;26,7 (49);24,7 (46);15,4 (28);5,9 (11);11,1 (21);4,2 (8);3,6 (2);3,5 (3);2,8 (1);2,0 (0)
Norstat/NRK;29.08.2017;24,4 (46);25,7 (46);15,0 (27);6,1 (11);10,6 (19);6,0 (11);3,3 (1);4,2 (7);2,7 (1);2,0 (0)
Verian/TV2;29.08.2017;25,7 (48);25,1 (46);16,3 (30);6,5 (12);10,4 (19);4,2 (8);3,9 (3);3,6 (2);2,6 (1);1,7 (0)
Verian/TV2;28.08.2017;26,5 (49);24,0 (44);16,0 (30);6,5 (12);11,2 (21);4,0 (7);3,7 (2);3,9 (3);2,6 (1);1,6 (0)
Verian/TV2;27.08.2017;26,8 (49);24,2 (45);16,7 (31);5,7 (10);11,2 (21);3,7 (3);3,1 (1);4,6 (8);2,9 (1);1,2 (0)
Ipsos/Dagbladet;25.08.2017;29,5 (55);23,3 (43);15,0 (29);5,9 (11);10,0 (18);4,4 (8);3,4 (2);2,6 (1);3,8 (2);2,1 (0)
Verian/TV2;24.08.2017;27,9 (52);23,3 (43);15,4 (29);5,5 (10);12,1 (22);3,2 (2);3,2 (1);4,7 (9);3,1 (1);1,5 (0)
InFact/VG;24.08.2017;27,6 (51);22,2 (40);12,0 (22);6,6 (12);12,0 (22);5,3 (9);3,6 (2);4,9 (9);3,6 (2);2,3 (0)
Respons/Aftenp / BT / Adressa;24.08.2017;27,3 (50);25,1 (46);15,5 (29);4,5 (8);10,8 (20);4,5 (8);3,7 (2);3,9 (4);3,2 (2);1,5 (0)
Norstat/NRK;23.08.2017;29,0 (52);22,4 (39);14,2 (27);5,5 (10);9,5 (16);5,1 (9);4,0 (7);4,4 (8);2,7 (1);3,1 (0)
Sentio/DN;22.08.2017;27,0 (48);24,2 (42);13,1 (23);5,1 (9);11,1 (19);5,3 (9);4,1 (7);6,1 (11);2,5 (1);1,6 (0)
Verian/TV2;20.08.2017;28,4 (53);23,8 (44);12,7 (23);6,4 (12);10,5 (20);5,3 (10);3,5 (2);3,4 (2);3,8 (3);2,2 (0)
InFact/VG;19.08.2017;30,5 (56);21,9 (40);12,1 (22);5,6 (10);10,9 (20);5,2 (9);4,1 (7);3,9 (3);3,7 (2);2,4 (0)
Verian/TV2;15.08.2017;30,3 (56);21,5 (40);13,7 (26);3,6 (1);12,6 (24);3,9 (3);4,4 (8);3,1 (2);4,7 (9);2,1 (0)
Norstat/NRK;15.08.2017;27,1 (50);23,8 (43);16,7 (30);5,2 (9);9,2 (16);5,0 (9);3,9 (3);4,6 (8);1,8 (1);2,7 (0)
Respons/Aftenp / BT / Adressa;11.08.2017;28,1 (52);24,8 (45);13,6 (25);6,4 (12);10,1 (19);5,1 (9);3,6 (2);3,7 (3);2,7 (2);1,9 (0)
Opinion/ANB;10.08.2017;30,0 (54);24,9 (44);12,3 (22);4,1 (7);10,8 (19);6,0 (11);3,2 (2);4,3 (8);2,9 (2);1,5 (0)
Norfakta/Nat. / KK;05.08.2017;31,9 (59);26,1 (48);13,8 (25);4,6 (8);9,5 (17);4,7 (9);3,1 (1);2,1 (1);1,8 (1);2,5 (0)
InFact/VG;04.08.2017;30,0 (55);22,7 (42);12,6 (23);5,2 (10);11,9 (22);5,2 (10);3,2 (2);3,6 (3);3,2 (2);2,3 (0)
Ipsos/Dagbladet;29.09.2017;26,1 (49);24,4 (45);14,4 (27);7,4 (14);10,2 (19);3,9 (3);5,4 (10);3,3 (1);2,7 (19);2,3 (0)
Norstat/VL;28.09.2017;24,9 (46);25,1 (46);15,0 (28);7,3 (14);11,3 (21);3,2 (2);4,7 (9);2,8 (1);3,7 (2);1,9 (0)
