speces	phylum 	lfc	se	W	p	q	diff	passed_ss	log2FC	Significant
Bifidobacterium_pseudocatenulatum	Actinobacteria	-0.8536070628726519	0.23352264744124632	-3.6553502293066336	8.845160674401414e-4	0.006347278092369332	TRUE	FALSE	-1.2314946764741685	ned
Collinsella_SGB4121	Actinobacteria	-0.7795577180565774	0.23462313440417712	-3.322595276191564	0.0015109400696192593	0.009123753497316296	TRUE	FALSE	-1.124664053926941	ned
GGB79973_SGB14341	Bacteria_unclassified	-0.8742521442223508	0.22052340977963075	-3.9644414400085313	5.12896766029521e-4	0.004129476526494091	TRUE	FALSE	-1.2612792329561282	ned
Bacteroides_cellulosilyticus	Bacteroidetes	-0.7861412901720481	0.3329863020850279	-2.3608817697591276	0.021554777813141624	0.07962588509795847	TRUE	FALSE	-1.1341621407692655	ned
Bacteroides_intestinalis	Bacteroidetes	-2.263812547991435	0.2967610149065501	-7.628402769495543	2.6103557537586372e-8	1.3660861778003535e-6	TRUE	FALSE	-3.265991136489452	ned
Butyricimonas_virosa	Bacteroidetes	-0.7160236196886798	0.20001256749166638	-3.579893147056938	0.0011211814143624087	0.007490446044889284	TRUE	FALSE	-1.0330037252842235	ned
Candidatus_Gastranaerophilales_bacterium	Candidatus_Melainabacteria	-1.4929427887971582	0.26630201097222866	-5.606201708153266	4.210072767880453e-6	9.442591779389015e-5	TRUE	FALSE	-2.1538611577285995	ned
GGB33512_SGB15203	Firmicutes	-2.8321345906586584	0.27066503393497554	-10.463614562563146	2.1426607895419163e-13	6.727954879161617e-11	TRUE	TRUE	-4.085906529073341	ned
GGB9522_SGB14921	Firmicutes	-0.838631451832137	0.2001795412700567	-4.189396411398318	1.1099077595038264e-4	0.0012446822731578624	TRUE	FALSE	-1.2098894366917357	ned
GGB9345_SGB14311	Firmicutes	-1.9833931168481405	0.2677763790758478	-7.406900951059404	1.1490638798378103e-8	7.216121165381448e-7	TRUE	TRUE	-2.8614314138101165	ned
GGB34540_SGB54300	Firmicutes	-1.2119958760556535	0.2157666788673473	-5.617159620836473	6.646694616545626e-6	1.2276835938796038e-4	TRUE	TRUE	-1.7485404399633662	ned
GGB9788_SGB15411	Firmicutes	-0.9973358401331784	0.20311477207631157	-4.910208302124243	5.219865666091826e-5	7.126251387621015e-4	TRUE	FALSE	-1.4388514706609645	ned
GGB3815_SGB5180	Firmicutes	-1.7900368251506238	0.20812227161331762	-8.60089029047519	6.119623463072948e-9	7.051430415797389e-7	TRUE	FALSE	-2.5824772506534295	ned
GGB9559_SGB14969	Firmicutes	-1.073503263487214	0.232502752565486	-4.617163675018662	2.74746063091375e-5	4.1081078005091314e-4	TRUE	FALSE	-1.5487378346111218	ned
GGB9765_SGB15382	Firmicutes	-1.3001736504061505	0.23976413459179835	-5.422719509820405	1.988593485621534e-6	5.676530495319652e-5	TRUE	FALSE	-1.8757540777354542	ned
GGB9766_SGB15383	Firmicutes	-1.0097712543697104	0.18672943016088528	-5.407670625351857	1.1496537576472156e-5	1.8999541047432932e-4	TRUE	FALSE	-1.4567919811114092	ned
