yr	region	gas	diesel	EV	hydrogen	hybrid_gas_plugin	hybrid_gas	hybrid_diesel_plugin	hybrid_diesel
2016	East	331785	330400	25363	19	7480	12343	311	296
2016	South	239705	249976	16100	9	4071	18766	242	150
2016	West	233930	245706	25660	0	4660	10478	194	191
2016	Middle	157101	192077	10497	0	2470	5017	172	212
2016	North	103560	136986	3130	0	1048	2050	64	67
2016	Oslo	129510	121287	16773	13	12518	6821	1197	142
2017	East	319533	335313	37998	39	16230	17884	641	292
2017	South	227956	256677	22589	24	7184	24844	459	177
2017	West	221353	247863	35729	9	8511	13819	438	207
2017	Middle	149122	199730	13380	0	4741	7005	292	239
2017	North	98804	143939	4466	0	2014	3259	129	75
2017	Oslo	122675	110468	24808	26	23899	9246	2775	117
2018	East	304116	335385	53622	42	25430	21219	947	305
2018	South	214745	258303	30014	38	10284	31242	700	205
2018	West	206910	244645	50793	14	11399	16109	615	207
2018	Middle	140139	203452	18466	3	6659	8478	444	267
2018	North	93480	148074	6293	0	2984	4194	234	87
2018	Oslo	115236	100061	36148	43	32898	10882	3535	121
2019	East	292360	332870	71385	45	33019	25675	1402	457
2019	South	208115	258366	40002	36	14044	36438	1007	290
2019	West	198098	240840	66359	15	14349	18719	869	255
2019	Middle	135032	205453	24817	3	8642	10262	633	333
2019	North	89642	150754	8422	0	4039	5299	377	154
2019	Oslo	107415	92175	49688	47	34479	12549	3178	233
2020	East	274666	329897	94231	47	42744	30017	2438	696
2020	South	187323	245239	50830	51	19812	39160	1292	398
2020	West	182393	233505	82761	6	19313	21350	1199	344
2020	Middle	125243	203732	33256	4	12065	11946	941	457
2020	North	83442	151576	11111	0	5767	6636	566	265
2020	Oslo	96567	82182	67782	45	37594	14354	2407	334
2021	East	256821	317464	126463	35	52434	33425	3492	896
2021	South	179420	238449	70971	98	28869	41396	1808	514
2021	West	171872	224826	109005	6	25329	23780	1523	417
2021	Middle	118817	200256	47635	5	16186	13460	1353	563
2021	North	79347	151054	16892	0	8619	8011	917	373
2021	Oslo	85204	71492	89723	51	42459	15953	1493	542
2022	East	238274	301040	161879	37	54330	36720	3748	1077
2022	South	168542	226936	93732	116	35464	43059	2085	673
2022	West	158718	211552	136166	4	29395	25993	1721	509
2022	Middle	108742	189035	69181	6	18511	14624	1513	581
2022	North	73131	144541	26845	0	10798	9066	1144	427
2022	Oslo	74247	61888	111301	53	39227	16513	872	624
2023	East	221687	284032	186926	40	55702	38902	3467	1155
2023	South	158023	214032	111469	45	41702	43172	2246	723
2023	West	146956	197314	154809	3	33310	27563	1826	559
2023	Middle	100354	177987	82608	7	20744	15533	1593	583
2023	North	67350	138109	33552	0	12552	10007	1256	466
2023	Oslo	65188	53140	119721	47	31733	15733	857	583
