track_title	guitar_features
Monteleone	6th chords, 7th chords, maj7 chords, major chords, minor chords, slash chords, with a capo
Border Reiver	add9 chords, has an intro, m7 chords, maj7 chords, major chords, minor chords, slash chords, thumb over the top, with a capo
Piper To The End	major chords, minor chords, no capo, slash chords, thumb over the top
Remembrance Day	7th chords, add9 chords, m7 chords, maj7 chords, major chords, meter change, minor chords, no3 chords, slash chords, sus chords, thumb over the top, with a capo
Get Lucky	7th chords, m7 chords, major chords, minor chords, slash chords, thumb over the top, Travis picking, with a capo
Imelda	6th chords, add9 chords, has a riff, power chords, slash chords
Dont you get it	add9 chords, has a riff, maj7 chords, major chords, no capo, power chords, slash chords, thumb over the top
Rudiger	6#11 chords, 6th chords, 7b9 chords, 7th chords, 9th chords, add13 chords, has an intro, m7 chords, m7b5 chords, major chords, minor chords, mMaj7 chords, no capo, slash chords, thumb over the top
Done With Bonaparte	has a riff, has an intro, m7 chords, maj7 chords, major chords, minor chords, no capo, slash chords, sus chords, thumb over the top
Golden Heart	12-string, add9 chords, m7 chords, maj7 chords, major chords, minor chords, no capo, power chords, slash chords, sus chords, thumb over the top
Cannibals	has a riff, no capo, power chords
Je suis desole	7th chords, has an intro, m7 chords, major chords, minor chords, no3 chords, power chords, slash chords, sus chords, thumb over the top, Travis picking, with a capo
The Scaffolders Wife	m11 chords, m7 chords, major chords, minor chords, slash chords, thumb over the top, with a capo, with a pick
Heart full of holes	aug chords, has an intro, m7 chords, m7b5 chords, major chords, minor chords, no capo, odd tuning, slash chords, thumb over the top
True love will never fade	add9 chords, m7 chords, maj7 chords, major chords, minor chords, slash chords, thumb over the top, with a capo
The fizzy and the still	add9 chords, maj7 chords, major chords, minor chords, no capo, open tuning, slash chords, sus chords
in the sky	has an intro, maj7 chords, major chords, open tuning, slash chords, with a capo
Madame genevas	m7 chords, major chords, mb9 chords, minor chords, no capo, slash chords
Redbud Tree	major chords, minor chords, slash chords
Dream of the drowned submariner	has an intro, m7 chords, maj7 chords, minor chords, slash chords, thumb over the top
Seattle	6/9 chords, m7 chords, maj7 chords, major chords, minor chords, slash chords, sus chords, thumb over the top, with a capo
Go, Love	m7 chords, major chords, minor chords, slash chords, sus chords, thumb over the top, with a capo
River Of Grog	7th chords, has an intro, m7 chords, maj7 chords, major chords, minor chords, slash chords, sus chords, thumb over the top, with a capo
Privateering	has a riff, has an intro, major chords, minor chords, no3 chords, slash chords, with a capo
Prairie Wedding	meter change, no3 chords, sus chords, with a capo
Speedway At Nazareth	6#11 chords, 6th chords, aug chords, maj7 chords, major chords, minor chords, no capo, no3 chords, power chords, slash chords, sus chords, thumb over the top, Travis picking
Whos your baby now	maj7 chords, slash chords, sus chords, with a capo
The Long Highway	7th chords, has an intro, maj7 chords, major chords, minor chords, no capo, slash chords, sus chords
The Last Laugh	7th chords, m7 chords, major chords, no capo, slash chords, sus chords, with a pick
Wanderlust	has a riff, major chords, minor chords, no capo, slash chords, thumb over the top
What It Is	has a riff, major chords, minor chords, no capo, slash chords, sus chords, with a capo
One More Matinee	6th chords, m6 chords, maj7 chords, major chords, minor chords, no capo, slash chords, sus chords, thumb over the top
Baloney Again	13th chords, 6th chords, 7#5 chords, 7b5 chords, 7th chords, 9#11 chords, has an intro, m7 chords, maj7 chords, major chords, minor chords, no capo, slash chords, sus chords, thumb over the top
Sailing To Philadelphia	add9 chords, m7sus4 chords, maj7 chords, major chords, meter change, minor chords, no capo, sus chords, thumb over the top, Travis picking, with a capo
Stand Up Guy	7th chords, has an intro, major chords, minor chords, slash chords, thumb over the top, with a capo
