year_month	import	export
1993M01	42 135	459 820
1993M02	35 271	466 053
1993M03	35 198	564 604
1993M04	40 041	660 249
1993M05	25 683	599 141
1993M06	38 414	768 387
1993M07	23 833	680 739
1993M08	46 605	797 845
1993M09	38 431	987 748
1993M10	29 985	801 136
1993M11	43 100	875 431
1993M12	195 442	715 616
1994M01	434 663	533 610
1994M02	560 251	498 526
1994M03	791 796	89 823
1994M04	930 279	106 583
1994M05	526 822	358 613
1994M06	122 534	506 479
1994M07	117 879	274 355
1994M08	109 080	609 250
1994M09	221 718	676 512
1994M10	273 448	506 213
1994M11	431 258	388 903
1994M12	315 862	418 633
1995M01	307 331	738 283
1995M02	191 649	639 551
1995M03	162 966	622 401
1995M04	147 856	611 929
1995M05	469 914	544 447
1995M06	549 748	597 621
1995M07	187 690	870 134
1995M08	36 669	897 700
1995M09	92 692	713 501
1995M10	83 059	777 315
1995M11	43 479	1 042 641
1995M12	27 215	906 829
1996M01	379 820	1 270 578
1996M02	449 131	863 723
1996M03	624 382	532 647
1996M04	1 090 712	265 055
1996M05	645 235	366 620
1996M06	1 176 551	198 894
1996M07	1 461 180	94 381
1996M08	1 053 953	125 115
1996M09	1 572 781	103 471
1996M10	1 767 484	169 221
1996M11	1 339 797	133 568
1996M12	1 650 861	113 003
1997M01	1 780 810	115 676
1997M02	1 682 676	58 098
1997M03	1 145 636	115 370
1997M04	813 585	270 718
1997M05	786 404	212 441
1997M06	527 605	305 997
1997M07	386 734	594 616
1997M08	140 322	782 492
1997M09	71 832	949 508
1997M10	165 935	577 557
1997M11	492 160	408 451
1997M12	698 714	483 300
1998M01	816 405	228 268
1998M02	756 794	80 615
1998M03	651 646	186 886
1998M04	718 150	126 892
1998M05	1 016 983	124 039
1998M06	559 223	273 357
1998M07	771 853	356 978
1998M08	147 779	1 139 554
1998M09	188 985	812 649
1998M10	443 027	572 469
1998M11	939 112	263 591
1998M12	1 036 404	246 590
1999M01	992 574	323 028
1999M02	729 498	287 306
1999M03	1 029 000	170 000
1999M04	919 391	317 102
1999M05	745 913	466 724
1999M06	254 400	664 198
1999M07	117 580	1 817 550
1999M08	76 467	1 784 766
1999M09	250 265	920 123
1999M10	705 597	336 305
1999M11	283 843	738 106
1999M12	362 193	451 907
2000M01	294 841	848 519
2000M02	242 696	840 287
2000M03	90 648	1 681 976
2000M04	65 208	1 283 789
2000M05	37 999	2 235 214
2000M06	22 298	2 349 115
2000M07	38 124	2 098 523
2000M08	29 332	2 368 143
2000M09	31 933	2 350 091
2000M10	89 202	1 946 362
2000M11	267 804	1 261 488
2000M12	263 937	1 265 067
2001M01	489 389	908 974
2001M02	726 650	574 165
2001M03	1 339 235	240 981
2001M04	1 590 183	191 095
2001M05	1 428 713	210 237
2001M06	870 566	385 461
2001M07	992 333	297 792
2001M08	700 746	574 665
2001M09	1 077 100	398 835
2001M10	733 439	678 324
2001M11	337 950	1 296 018
2001M12	473 726	1 405 468
2002M01	613 125	1 161 545
2002M02	658 075	955 468
2002M03	605 735	768 412
2002M04	751 561	537 685
2002M05	443 907	1 141 431
2002M06	30 941	1 948 807
2002M07	34 279	2 275 250
2002M08	67 222	2 292 475
2002M09	147 901	1 481 047
2002M10	347 643	1 207 245
2002M11	595 738	645 496
2002M12	1 032 983	586 903
2003M01	1 414 045	500 419
2003M02	1 162 127	487 717
2003M03	1 925 315	204 100
2003M04	1 844 015	133 353
2003M05	1 663 068	107 704
2003M06	563 090	680 648
2003M07	783 777	562 199
2003M08	644 893	789 699
2003M09	464 247	666 343
2003M10	514 342	855 003
2003M11	1 068 359	347 324
2003M12	1 424 964	252 613
2004M01	1 001 097	483 768
2004M02	1 051 613	248 482
2004M03	1 192 344	249 224
2004M04	1 803 980	106 067
2004M05	1 493 968	223 731
2004M06	851 677	476 695
2004M07	1 815 029	405 245
2004M08	936 898	525 964
2004M09	1 060 441	333 901
2004M10	1 494 032	242 601
2004M11	1 325 655	235 826
2004M12	1 307 555	310 426
2005M01	440 503	1 109 664
2005M02	126 235	1 684 332
2005M03	261 349	1 444 974
2005M04	438 397	1 035 334
2005M05	635 308	986 482
2005M06	280 419	1 133 522
2005M07	155 650	1 227 796
2005M08	226 488	1 244 248
2005M09	321 660	948 252
2005M10	275 190	1 329 521
2005M11	165 294	1 897 584
2005M12	326 418	1 653 521
2006M01	250 584	1 544 408
2006M02	191 657	1 313 713
2006M03	475 816	920 739
2006M04	1 162 513	299 350
2006M05	1 516 834	240 498
2006M06	596 401	948 685
2006M07	515 599	960 961
2006M08	518 177	1 035 381
2006M09	653 758	548 395
2006M10	1 332 767	278 568
2006M11	1 212 050	390 139
2006M12	1 375 448	466 174
2007M01	1 046 847	708 894
2007M02	483 551	1 079 204
2007M03	807 785	572 873
2007M04	790 723	804 195
2007M05	424 675	1 180 928
2007M06	105 705	1 446 583
2007M07	52 697	2 011 743
2007M08	13 901	2 607 837
2007M09	41 641	2 317 038
2007M10	255 034	1 254 800
2007M11	448 349	712 359
2007M12	813 358	623 877
2008M01	486 391	966 129
2008M02	243 065	1 207 340
2008M03	241 830	1 381 686
2008M04	412 675	923 090
2008M05	426 606	1 315 249
2008M06	120 175	1 867 854
2008M07	109 413	2 060 024
2008M08	128 351	1 769 206
2008M09	193 285	1 395 127
2008M10	298 903	1 470 831
2008M11	422 897	1 372 750
2008M12	330 862	1 561 578
2009M01	544 436	1 176 374
