album_title	year	track_no	track_title	track_length
Golden Heart	1996	1	Darling Pretty	04:31
Golden Heart	1996	2	Imelda	05:26
Golden Heart	1996	3	Golden Heart	05:01
Golden Heart	1996	4	No Can Do	04:54
Golden Heart	1996	5	Vic and Ray	04:36
Golden Heart	1996	6	Dont you get it	05:16
Golden Heart	1996	7	A Night in Summer Long Ago	04:43
Golden Heart	1996	8	Cannibals	03:41
Golden Heart	1996	9	Im the Fool	04:28
Golden Heart	1996	10	Je Suis Desole	05:14
Golden Heart	1996	11	Rudiger	06:03
Golden Heart	1996	12	Nobodys Got the Gun	05:25
Golden Heart	1996	13	Done with Bonaparte	05:06
Golden Heart	1996	14	Are We in Trouble Now	05:54
Sailing to Philadelphia	2000	1	What It Is	04:57
Sailing to Philadelphia	2000	2	Sailing to Philadelphia	05:29
Sailing to Philadelphia	2000	3	Whos Your Baby Now	03:05
Sailing to Philadelphia	2000	4	Baloney Again	05:09
Sailing to Philadelphia	2000	5	The Last Laugh	03:22
Sailing to Philadelphia	2000	6	Silvertown Blues	05:32
Sailing to Philadelphia	2000	7	El Macho	05:29
Sailing to Philadelphia	2000	8	Prairie Wedding	04:26
Sailing to Philadelphia	2000	9	Wanderlust	03:52
Sailing to Philadelphia	2000	10	Speedway at Nazareth	06:23
Sailing to Philadelphia	2000	11	Junkie Doll	04:34
Sailing to Philadelphia	2000	12	Sands of Nevada	03:56
Sailing to Philadelphia	2000	13	One More Matinee	03:57
The Ragpickers Dream	2002	1	Why Aye Man	06:14
The Ragpickers Dream	2002	2	Devil Baby	04:05
The Ragpickers Dream	2002	3	Hill Farmers Blues	03:45
The Ragpickers Dream	2002	4	A Place Where We Used to Live	04:34
The Ragpickers Dream	2002	5	Quality Shoe	03:56
The Ragpickers Dream	2002	6	Fare Thee Well Northumberland	06:29
The Ragpickers Dream	2002	7	Marbletown	03:33
The Ragpickers Dream	2002	8	You Dont Know Youre Born	05:20
The Ragpickers Dream	2002	9	Coyote	05:56
The Ragpickers Dream	2002	10	The Ragpickers Dream	04:20
The Ragpickers Dream	2002	11	Daddys Gone to Knoxville	02:48
The Ragpickers Dream	2002	12	Old Pigweed	04:34
Shangri-La	2004	1	5.15 A.M.	05:54
Shangri-La	2004	2	Boom, Like That	05:49
Shangri-La	2004	3	Sucker Row	04:56
Shangri-La	2004	4	The Trawlermans Song	05:02
Shangri-La	2004	5	Back to Tupelo	04:31
Shangri-La	2004	6	Our Shangri-La	05:41
Shangri-La	2004	7	Everybody Pays	05:24
Shangri-La	2004	8	Song for Sonny Liston	05:06
Shangri-La	2004	9	Whoop De Doo	03:53
Shangri-La	2004	10	Postcards from Paraguay	04:07
Shangri-La	2004	11	All That Matters	03:08
Shangri-La	2004	12	Stand Up Guy	04:32
Shangri-La	2004	13	Donegans Gone	03:05
Shangri-La	2004	14	Dont Crash the Ambulance	05:06
Kill to Get Crimson	2007	1	True Love Will Never Fade	04:21
Kill to Get Crimson	2007	2	The Scaffolders Wife	03:52
Kill to Get Crimson	2007	3	The Fizzy and the Still	04:07
