track_title	concert_plays
Romeo and Juliet (Dire Straits song)	668
Speedway at Nazareth	605
So Far Away (Dire Straits song)	559
Telegraph Road (Dire Straits song)	549
Sultans of Swing (Dire Straits song)	517
What It Is	510
Brothers in Arms (Dire Straits song)	491
Sailing to Philadelphia	466
Done With Bonaparte	421
Hill Farmers Blues	407
Marbletown	406
Going Home: Theme of the Local Hero	336
Money for Nothing (Dire Straits song)	326
Why Aye Man	315
Postcards From Paraguay	301
Corned Beef City	284
Song for Sonny Liston	249
Walk of Life (Dire Straits song)	240
Privateering	232
Father and Son	204
Rudiger	180
Piper to the End	167
Cannibals	142
Your Latest Trick (Dire Straits song)	135
Calling Elvis (Dire Straits song)	134
Our Shangri-La	126
I Used to Could	125
Donegans Gone	124
Haul Away	117
Shes Gone	114
Boom, Like That	103
True Love Will Never Fade	103
On Every Street (Dire Straits song)	102
Prairie Wedding	99
The Fish and the Bird	98
Broken Bones	88
Matchstick Man	87
My Bacon Roll	86
Once Upon a Time in the West (Dire Straits song)	86
Border Reiver	83
Skydiver	83
The Bonnie Banks o Loch Lomond ([traditional] cover)	80
Heart Full of Holes	77
Junkie Doll	76
Coyote	69
Pyroman	65
Cleaning My Gun	58
Kingdom of Gold	57
Baloney Again	56
Darling Pretty	56
Imelda	53
Je Suis Desole	53
Golden Heart	51
The Mist Covered Mountains / Wild Theme	50
Whos Your Baby Now	50
The Bug (Dire Straits song)	49
I Dug Up a Diamond (Mark Knopfler & Emmylou Harris cover)	47
Im the Fool	46
Last Exit to Brooklyn	44
The Long Highway	43
Wild Theme	43
Get Lucky	41
Laughs and Jokes and Drinks and Smokes	36
Gator Blood	35
Mighty Man	33
Wag the Dog	31
A Night in Summer Long Ago	28
Daddys Gone to Knoxville	25
All That Matters	23
Water of Love (Dire Straits song)	21
Seattle	20
Vic and Ray	19
Wherever I Go	19
Yon Two Crows	17
Back to Tupelo	16
A Love Idea	15
El Macho	15
Silvertown Blues	15
Are We in Trouble Now	14
Monteleone	13
Quality Shoe	12
The Trawlermans Song	11
Devil Baby	10
No Can Do	10
Miss You Blues	8
Nobody Does That	8
Let It All Go	7
Redbud Tree	7
Secondary Waltz	7
Remembrance Day	6
The Fizzy and the Still	6
Feel Like Going Home (Charlie Rich cover)	5
If This Is Goodbye (Mark Knopfler & Emmylou Harris cover)	5
Why Worry (Dire Straits song)	5
Dream of the Drowned Submariner	4
Fade to Black (Dire Straits song)	4
Hawaiian Lullaby	4
Hobos Lullaby (Goebel Reeves cover)	4
I Cant Be Satisfied (Muddy Waters cover)	4
Railroad Worksong ([traditional] cover)	4
Run Me Down (The Notting Hillbillies song)	4
Setting Me Up (Dire Straits song)	4
Your Own Sweet Way (The Notting Hillbillies song)	4
5.15 a.m.	3
A Picture of You (Joe Brown cover)	3
Beryl	3
Gravy Train	3
Portobello Belle (Dire Straits song)	3
Everybody Pays	2
Good On You Son	2
Stand Up Guy	2
The Next Time Im in Town (Chet Atkins & Mark Knopfler cover)	2
A Place Where We Used to Live	1
Alone and Forsaken (Hank Williams cover)	1
Apache (Jerry Lordan cover)	1
Behind With the Rent	1
Big Rock Candy Mountain (Burl Ives cover)	1
Cerveza (The Shadows cover)	1
Darling Corey ([traditional] cover)	1
Go, Love	1
Its Been a While	1
Just One Time (Don Gibson cover)	1
Lost on the River (Hank Williams cover)	1
Occupation Blues	1
Old Pigweed	1
Playtime Deluxe	1
Raised Up Family (James Taylor cover)	1
Terminal of Tribute To	1
The Boxer (Simon & Garfunkel cover)	1
The Hole In The Ground (Bernard Cribbins cover)	1
Tunnel of Love (Dire Straits song)	1
Two Skinny Kids	1
Waterbound (Dirk Powell cover)	1
Whoop de Doo	1
