track_title	streams_overall	streams_daily
What It Is	80445301	29686
Sailing To Philadelphia	41948843	18171
Going Home (Theme of the Local Hero)	37899192	15048
Going Home: Theme Of The Local Hero	37881351	14542
Beryl	27564052	28281
Sailing to Philadelphia	22779512	8042
Wherever I Go	18392452	6531
Wild Theme	16302163	5533
Redbud Tree	15859561	8799
Boom, Like That	15625691	6857
Golden Heart	15623111	7239
True Love Will Never Fade	13560208	10157
This Is Us	13224389	5599
Cannibals	13128718	7341
All The Roadrunning	12048448	3961
If This Is Goodbye	11828943	5892
The Long Road	11531176	4217
Speedway at Nazareth	10950250	3805
The Trawlermans Song	10296452	7526
Privateering	9783518	2928
Border Reiver	9776363	4219
The Last Laugh	8911467	7696
Why Aye Man	8305730	2916
Storybook Love	7950825	3225
Silvertown Blues	7828861	3505
Get Lucky	7734923	1319
Love and Happiness	7549850	4971
Haul Away	7325107	2182
Postcards From Paraguay	6858415	3839
Good On You Son	6507805	1489
Darling Pretty	6092838	168
Beachcombing	5997082	2512
Go, Love	5968261	4163
Trapper Man	5777622	869
Piper To The End	5641160	2417
Altamira	5547346	2368
Prairie Wedding	5273126	2512
Back On The Dance Floor	4958363	1092
Why Aye Man - Radio Edit	4951353	826
Miss You Blues	4683778	990
Irish Boy	4645023	129
Our Shangri-La	4532891	1698
Darling Pretty	4394531	3445
Just A Boy Away From Home	4066949	730
When You Leave	4066674	2285
Beyond My Wildest Dreams	4053623	2735
Every Heart In The Room	4031683	474
Are We in Trouble Now	3858379	1074
Seattle	3845534	1427
So Far From The Clyde	3830144	118
Hill Farmers Blues	3670572	1274
Baloney Again	3629581	896
Corned Beef City	3421345	869
Romeo And Juliet - Live At Gibson Amphitheatre / June 28th 2006	3352493	1293
I Dug Up A Diamond	3346624	1708
Song For Sonny Liston	3284228	1326
Monteleone	3267235	4359
Nobodys child	3075846	1057
Dream Of The Drowned Submariner	3068628	741
Basil	3035265	1019
Done With Bonaparte	3026505	777
Whos Your Baby Now	3022254	1025
Kingdom Of Gold	2990346	826
Dont Forget Your Hat	2962286	730
Hard Shoulder	2954868	1068
Brothers In Arms - Live At The Royal Albert Hall	2937706	1211
Lights Of Taormina	2901334	3266
El Macho	2843366	900
5.15 a.m.	2793169	1024
Sultans Of Swing - Live At The Royal Albert Hall	2770895	883
Rollin On	2705033	1025
My Bacon Roll	2686118	697
One Song At A Time	2505506	706
Cleaning My Gun	2496134	889
Hot Or What	2451629	655
Yon Two Crows	2449732	708
