name	station	year	temp_dev_norm_1991_2020	rain_dev_norm_1991_2020
Region Norge	GR0	1901	-0,71	80,8
Region Norge	GR0	1902	-2,31	82,3
Region Norge	GR0	1903	-0,95	91,5
Region Norge	GR0	1904	-1,57	71
Region Norge	GR0	1905	-1,04	88,9
Region Norge	GR0	1906	-0,79	88,9
Region Norge	GR0	1907	-0,93	90
Region Norge	GR0	1908	-0,93	85,4
Region Norge	GR0	1909	-1,78	90,8
Region Norge	GR0	1910	-0,5	83,7
Region Norge	GR0	1911	-0,51	81,2
Region Norge	GR0	1912	-1,25	82,3
Region Norge	GR0	1913	-0,5	83,5
Region Norge	GR0	1914	-0,23	86,2
Region Norge	GR0	1915	-2,72	73,1
Region Norge	GR0	1916	-1,06	85
Region Norge	GR0	1917	-2,18	86,8
Region Norge	GR0	1918	-0,85	82,9
Region Norge	GR0	1919	-1,93	73,8
Region Norge	GR0	1920	-0,02	93,8
Region Norge	GR0	1921	-0,73	100,8
Region Norge	GR0	1922	-1,47	83,7
Region Norge	GR0	1923	-1,72	84,8
Region Norge	GR0	1924	-0,82	89,5
Region Norge	GR0	1925	-0,94	91,7
Region Norge	GR0	1926	-1,12	88,8
Region Norge	GR0	1927	-1,48	85,6
Region Norge	GR0	1928	-1,34	82,2
Region Norge	GR0	1929	-1,16	90,4
Region Norge	GR0	1930	0,41	86,8
Region Norge	GR0	1931	-1,41	82,9
Region Norge	GR0	1932	-0,34	97,9
Region Norge	GR0	1933	-0,27	76,2
Region Norge	GR0	1934	0,74	100,6
Region Norge	GR0	1935	-0,66	88,8
Region Norge	GR0	1936	-0,38	86,9
Region Norge	GR0	1937	-0,13	75
Region Norge	GR0	1938	0,7	105,1
Region Norge	GR0	1939	-0,72	86,3
Region Norge	GR0	1940	-1,95	81,6
Region Norge	GR0	1941	-2,1	73,8
Region Norge	GR0	1942	-2,22	88,9
Region Norge	GR0	1943	-0,16	96,9
Region Norge	GR0	1944	-0,52	89,2
Region Norge	GR0	1945	-0,47	81,5
Region Norge	GR0	1946	-0,42	88
Region Norge	GR0	1947	-1,42	75
Region Norge	GR0	1948	-0,37	102,8
Region Norge	GR0	1949	0,07	98,8
Region Norge	GR0	1950	-0,48	90,3
Region Norge	GR0	1951	-1,02	91,7
Region Norge	GR0	1952	-1,81	81,9
Region Norge	GR0	1953	0,42	101,8
Region Norge	GR0	1954	-0,8	89,9
Region Norge	GR0	1955	-1,93	80
Region Norge	GR0	1956	-1,72	80,7
Region Norge	GR0	1957	-0,74	98
Region Norge	GR0	1958	-1,62	84
Region Norge	GR0	1959	0,15	88,7
Region Norge	GR0	1960	-0,8	79,4
Region Norge	GR0	1961	-0,14	103,5
Region Norge	GR0	1962	-1,8	92,2
Region Norge	GR0	1963	-1,2	89,3
Region Norge	GR0	1964	-0,65	105,1
Region Norge	GR0	1965	-1,76	87
Region Norge	GR0	1966	-2,3	88,7
Region Norge	GR0	1967	-0,76	106,6
Region Norge	GR0	1968	-1,78	83,4
Region Norge	GR0	1969	-1,34	75,4
Region Norge	GR0	1970	-1,56	82,2
Region Norge	GR0	1971	-0,95	99,1
Region Norge	GR0	1972	-0,11	85,6
Region Norge	GR0	1973	-0,83	102,3
Region Norge	GR0	1974	0,19	84,8
Region Norge	GR0	1975	-0,07	107
Region Norge	GR0	1976	-1,41	77,9
Region Norge	GR0	1977	-1,37	81,3
Region Norge	GR0	1978	-1,74	87,9
Region Norge	GR0	1979	-1,82	89,2
Region Norge	GR0	1980	-1,47	81
Region Norge	GR0	1981	-2,13	89
Region Norge	GR0	1982	-0,65	97,2
Region Norge	GR0	1983	-0,5	109,8
Region Norge	GR0	1984	-0,35	86,1
Region Norge	GR0	1985	-2,2	98,9
Region Norge	GR0	1986	-1,42	89,7
Region Norge	GR0	1987	-1,84	92,8
Region Norge	GR0	1988	-0,56	103,2
Region Norge	GR0	1989	0,55	109
Region Norge	GR0	1990	0,79	105,2
Region Norge	GR0	1991	-0,15	92,1
Region Norge	GR0	1992	0,08	105,7
Region Norge	GR0	1993	-0,81	93,2
Region Norge	GR0	1994	-0,82	90,9
Region Norge	GR0	1995	-0,72	100
Region Norge	GR0	1996	-1,29	79,3
Region Norge	GR0	1997	-0,04	99
Region Norge	GR0	1998	-0,72	97,4
Region Norge	GR0	1999	-0,12	103,3
Region Norge	GR0	2000	0,55	110,9
Region Norge	GR0	2001	-0,75	100,6
Region Norge	GR0	2002	0,04	88,8
Region Norge	GR0	2003	0,23	98,5
Region Norge	GR0	2004	0,31	100,9
Region Norge	GR0	2005	0,4	105,5
Region Norge	GR0	2006	0,73	102,1
Region Norge	GR0	2007	0,27	107,2
Region Norge	GR0	2008	0,33	98,5
Region Norge	GR0	2009	-0,06	95
Region Norge	GR0	2010	-2,05	85,8
Region Norge	GR0	2011	0,8	119,3
Region Norge	GR0	2012	-0,65	100,7
Region Norge	GR0	2013	-0,08	102,5
Region Norge	GR0	2014	1,21	92,9
Region Norge	GR0	2015	0,79	110,8
Region Norge	GR0	2016	0,47	94,1
Region Norge	GR0	2017	0,09	110,4
Region Norge	GR0	2018	0,4	92,3
Region Norge	GR0	2019	0,15	105,7
Region Norge	GR0	2020	1,4	116,6
Region Norge	GR0	2021	-0,05	92,2
Region Norge	GR0	2022	0,65	104,16
Region Norge	GR0	2023	-0,14	105,68
