name	station	yr	rain_mm	rain_mm_rel_norm
Oslo - Blindern	SN18700	1937	655,9	78,4
Oslo - Blindern	SN18700	1938	787,6	94,2
Oslo - Blindern	SN18700	1939	675	80,7
Oslo - Blindern	SN18700	1940	697,2	83,4
Oslo - Blindern	SN18700	1941	527,8	63,1
Oslo - Blindern	SN18700	1942	785,1	93,9
Oslo - Blindern	SN18700	1943	674	80,6
Oslo - Blindern	SN18700	1944	852,1	101,9
Oslo - Blindern	SN18700	1945	562	67,2
Oslo - Blindern	SN18700	1946	811,8	97,1
Oslo - Blindern	SN18700	1947	397,3	47,5
Oslo - Blindern	SN18700	1948	844	100,9
Oslo - Blindern	SN18700	1949	787,8	94,2
Oslo - Blindern	SN18700	1950	1061,2	126,9
Oslo - Blindern	SN18700	1951	964,4	115,3
Oslo - Blindern	SN18700	1952	717,6	85,8
Oslo - Blindern	SN18700	1953	727,8	87
Oslo - Blindern	SN18700	1954	890,5	106,5
Oslo - Blindern	SN18700	1955	536,3	64,1
Oslo - Blindern	SN18700	1956	529,9	63,4
Oslo - Blindern	SN18700	1957	767,4	91,8
Oslo - Blindern	SN18700	1958	709,1	84,8
Oslo - Blindern	SN18700	1959	796,9	95,3
Oslo - Blindern	SN18700	1960	919,2	109,9
Oslo - Blindern	SN18700	1961	783,9	93,7
Oslo - Blindern	SN18700	1962	809,9	96,8
Oslo - Blindern	SN18700	1963	745,3	89,1
Oslo - Blindern	SN18700	1964	727,6	87
Oslo - Blindern	SN18700	1965	915,5	109,5
Oslo - Blindern	SN18700	1966	891,8	106,6
Oslo - Blindern	SN18700	1967	907,1	108,5
Oslo - Blindern	SN18700	1968	676,6	80,9
Oslo - Blindern	SN18700	1969	603,4	72,2
Oslo - Blindern	SN18700	1970	807,9	96,6
Oslo - Blindern	SN18700	1971	632,8	75,7
Oslo - Blindern	SN18700	1972	625,9	74,8
Oslo - Blindern	SN18700	1973	587,5	70,2
Oslo - Blindern	SN18700	1974	836,8	100,1
Oslo - Blindern	SN18700	1975	682,3	81,6
Oslo - Blindern	SN18700	1976	560,6	67
Oslo - Blindern	SN18700	1977	677,8	81
Oslo - Blindern	SN18700	1978	652	78
Oslo - Blindern	SN18700	1979	827,8	99
Oslo - Blindern	SN18700	1980	766,8	91,7
Oslo - Blindern	SN18700	1981	712,2	85,2
Oslo - Blindern	SN18700	1982	840,5	100,5
Oslo - Blindern	SN18700	1983	646,1	77,3
Oslo - Blindern	SN18700	1984	871,4	104,2
Oslo - Blindern	SN18700	1985	910,4	108,9
Oslo - Blindern	SN18700	1986	709,6	84,8
Oslo - Blindern	SN18700	1987	852,5	101,9
Oslo - Blindern	SN18700	1988	1082,8	129,5
Oslo - Blindern	SN18700	1989	777,8	93
Oslo - Blindern	SN18700	1990	746,1	89,2
Oslo - Blindern	SN18700	1991	613,6	73,4
Oslo - Blindern	SN18700	1992	753,5	90,1
Oslo - Blindern	SN18700	1993	762	91,1
Oslo - Blindern	SN18700	1994	661,4	79,1
Oslo - Blindern	SN18700	1995	699,3	83,6
Oslo - Blindern	SN18700	1996	669	80
Oslo - Blindern	SN18700	1997	587,3	70,2
Oslo - Blindern	SN18700	1998	797,4	95,3
Oslo - Blindern	SN18700	1999	944,9	113
Oslo - Blindern	SN18700	2000	1172,6	140,2
Oslo - Blindern	SN18700	2001	817,8	97,8
Oslo - Blindern	SN18700	2002	837	100,1
Oslo - Blindern	SN18700	2003	725,8	86,8
Oslo - Blindern	SN18700	2004	754,5	90,2
Oslo - Blindern	SN18700	2005	710,3	84,9
Oslo - Blindern	SN18700	2006	930,8	111,3
Oslo - Blindern	SN18700	2007	869,1	103,9
Oslo - Blindern	SN18700	2008	1013,7	121,2
Oslo - Blindern	SN18700	2009	935,7	111,9
Oslo - Blindern	SN18700	2010	736,9	88,1
Oslo - Blindern	SN18700	2011	987,2	118
Oslo - Blindern	SN18700	2012	971,2	116,1
Oslo - Blindern	SN18700	2013	757,8	90,6
Oslo - Blindern	SN18700	2014	1028	122,9
Oslo - Blindern	SN18700	2015	911,2	109
Oslo - Blindern	SN18700	2016	724,1	86,6
Oslo - Blindern	SN18700	2017	942,2	112,7
Oslo - Blindern	SN18700	2018	657,1	78,6
Oslo - Blindern	SN18700	2019	1043,1	124,7
Oslo - Blindern	SN18700	2020	1080,5	129,1
Oslo - Blindern	SN18700	2021	695,9	83,1
Oslo - Blindern	SN18700	2022	703,1	84
Oslo - Blindern	SN18700	2023	1023,5	122,3
