name	station	month	rain_mm
Oslo - Blindern	SN18700	01.1940	17,7
Oslo - Blindern	SN18700	02.1940	11,7
Oslo - Blindern	SN18700	03.1940	33,8
Oslo - Blindern	SN18700	04.1940	40,3
Oslo - Blindern	SN18700	05.1940	13,1
Oslo - Blindern	SN18700	06.1940	19
Oslo - Blindern	SN18700	07.1940	197,7
Oslo - Blindern	SN18700	08.1940	87,4
Oslo - Blindern	SN18700	09.1940	101,8
Oslo - Blindern	SN18700	10.1940	53
Oslo - Blindern	SN18700	11.1940	81,1
Oslo - Blindern	SN18700	12.1940	40,6
Oslo - Blindern	SN18700	01.1941	4
Oslo - Blindern	SN18700	02.1941	37,3
Oslo - Blindern	SN18700	03.1941	34,5
Oslo - Blindern	SN18700	04.1941	13,6
Oslo - Blindern	SN18700	05.1941	10,6
Oslo - Blindern	SN18700	06.1941	47,8
Oslo - Blindern	SN18700	07.1941	72,5
Oslo - Blindern	SN18700	08.1941	154
Oslo - Blindern	SN18700	09.1941	31,4
Oslo - Blindern	SN18700	10.1941	45,2
Oslo - Blindern	SN18700	11.1941	26,2
Oslo - Blindern	SN18700	12.1941	50,7
Oslo - Blindern	SN18700	01.1942	11,3
Oslo - Blindern	SN18700	02.1942	8,3
Oslo - Blindern	SN18700	03.1942	11,6
Oslo - Blindern	SN18700	04.1942	29,1
Oslo - Blindern	SN18700	05.1942	71,1
Oslo - Blindern	SN18700	06.1942	113,1
Oslo - Blindern	SN18700	07.1942	27,8
Oslo - Blindern	SN18700	08.1942	150,7
Oslo - Blindern	SN18700	09.1942	118
Oslo - Blindern	SN18700	10.1942	109,4
Oslo - Blindern	SN18700	11.1942	71,4
Oslo - Blindern	SN18700	12.1942	63,3
Oslo - Blindern	SN18700	01.1943	72,7
Oslo - Blindern	SN18700	02.1943	38,7
Oslo - Blindern	SN18700	03.1943	10,8
Oslo - Blindern	SN18700	04.1943	32,8
Oslo - Blindern	SN18700	05.1943	38,1
Oslo - Blindern	SN18700	06.1943	73,2
Oslo - Blindern	SN18700	07.1943	73,5
Oslo - Blindern	SN18700	08.1943	79,8
Oslo - Blindern	SN18700	09.1943	65
Oslo - Blindern	SN18700	10.1943	66,4
Oslo - Blindern	SN18700	11.1943	84
Oslo - Blindern	SN18700	12.1943	39
Oslo - Blindern	SN18700	01.1944	46,7
Oslo - Blindern	SN18700	02.1944	19
Oslo - Blindern	SN18700	03.1944	11,2
Oslo - Blindern	SN18700	04.1944	19,9
Oslo - Blindern	SN18700	05.1944	41,8
Oslo - Blindern	SN18700	06.1944	110,7
Oslo - Blindern	SN18700	07.1944	95,9
Oslo - Blindern	SN18700	08.1944	60,9
Oslo - Blindern	SN18700	09.1944	188,7
Oslo - Blindern	SN18700	10.1944	96,2
Oslo - Blindern	SN18700	11.1944	72,1
Oslo - Blindern	SN18700	12.1944	89
Oslo - Blindern	SN18700	01.1945	25,5
Oslo - Blindern	SN18700	02.1945	53,3
Oslo - Blindern	SN18700	03.1945	19,6
Oslo - Blindern	SN18700	04.1945	35
Oslo - Blindern	SN18700	05.1945	109,1
Oslo - Blindern	SN18700	06.1945	62,8
Oslo - Blindern	SN18700	07.1945	16,9
Oslo - Blindern	SN18700	08.1945	33,8
Oslo - Blindern	SN18700	09.1945	46,6
Oslo - Blindern	SN18700	10.1945	66,7
Oslo - Blindern	SN18700	11.1945	19,7
Oslo - Blindern	SN18700	12.1945	73
Oslo - Blindern	SN18700	01.1946	39
Oslo - Blindern	SN18700	02.1946	61,3
Oslo - Blindern	SN18700	03.1946	23,7
Oslo - Blindern	SN18700	04.1946	6,3
Oslo - Blindern	SN18700	05.1946	15,2
Oslo - Blindern	SN18700	06.1946	120,2
Oslo - Blindern	SN18700	07.1946	50,7
Oslo - Blindern	SN18700	08.1946	136,7
Oslo - Blindern	SN18700	09.1946	145,1
Oslo - Blindern	SN18700	10.1946	34,2
Oslo - Blindern	SN18700	11.1946	97,8
Oslo - Blindern	SN18700	12.1946	81,6
Oslo - Blindern	SN18700	01.1947	23,3
Oslo - Blindern	SN18700	02.1947	2,1
Oslo - Blindern	SN18700	03.1947	36
Oslo - Blindern	SN18700	04.1947	63,5
Oslo - Blindern	SN18700	05.1947	0,6
