name	station	month	mid_temp
Oslo - Blindern	SN18700	01.1940	-7,9
Oslo - Blindern	SN18700	02.1940	-8,7
Oslo - Blindern	SN18700	03.1940	-2,8
Oslo - Blindern	SN18700	04.1940	3,3
Oslo - Blindern	SN18700	05.1940	12,3
Oslo - Blindern	SN18700	06.1940	17,3
Oslo - Blindern	SN18700	07.1940	16,3
Oslo - Blindern	SN18700	08.1940	14,1
Oslo - Blindern	SN18700	09.1940	10
Oslo - Blindern	SN18700	10.1940	5
Oslo - Blindern	SN18700	11.1940	1,2
Oslo - Blindern	SN18700	12.1940	-4
Oslo - Blindern	SN18700	01.1941	-12,9
Oslo - Blindern	SN18700	02.1941	-7,6
Oslo - Blindern	SN18700	03.1941	-1,8
Oslo - Blindern	SN18700	04.1941	3,3
Oslo - Blindern	SN18700	05.1941	9,6
Oslo - Blindern	SN18700	06.1941	16
Oslo - Blindern	SN18700	07.1941	19,2
Oslo - Blindern	SN18700	08.1941	14,4
Oslo - Blindern	SN18700	09.1941	11,5
Oslo - Blindern	SN18700	10.1941	4,9
Oslo - Blindern	SN18700	11.1941	0,5
Oslo - Blindern	SN18700	12.1941	-4,2
Oslo - Blindern	SN18700	01.1942	-12,1
Oslo - Blindern	SN18700	02.1942	-8,5
Oslo - Blindern	SN18700	03.1942	-5,3
Oslo - Blindern	SN18700	04.1942	5,4
Oslo - Blindern	SN18700	05.1942	9,6
Oslo - Blindern	SN18700	06.1942	13
Oslo - Blindern	SN18700	07.1942	16,4
Oslo - Blindern	SN18700	08.1942	15,2
Oslo - Blindern	SN18700	09.1942	11
Oslo - Blindern	SN18700	10.1942	6,6
Oslo - Blindern	SN18700	11.1942	1,8
Oslo - Blindern	SN18700	12.1942	-1
Oslo - Blindern	SN18700	01.1943	-5,5
Oslo - Blindern	SN18700	02.1943	0,9
Oslo - Blindern	SN18700	03.1943	3,5
Oslo - Blindern	SN18700	04.1943	6,7
Oslo - Blindern	SN18700	05.1943	11
