biochem	parial_spearman	fdr
5alpha-androstan-3beta,17alpha-diol disulfate	0.44	<1E-300
X - 17354	0.42	<1E-300
X - 22509	0.41	<1E-300
3-phenylpropionate (hydrocinnamate)	0.39	1.31E-295
cinnamoylglycine	0.39	1.49E-295
X - 12216	0.37	8.1E-268
X - 11850	0.35	9.1E-245
X - 11843	0.34	7.0E-222
X - 15728	0.34	3.5E-220
X - 12013	0.32	1.8E-197
X - 25503	0.31	2.0E-189
branched chain 14:0 dicarboxylic acid**	0.31	2.0E-186
isoursodeoxycholate	-0.31	2.8E-186
X - 21442	0.31	4.2E-179
X - 18901	0.30	5.6E-177
X - 12816	0.30	5.9E-172
X - 12261	0.29	3.7E-163
X - 12126	0.28	5.1E-155
X - 21752	0.28	3.8E-153
X - 23662	-0.28	4.3E-153
11beta-hydroxyetiocholanolone glucuronide*	0.28	3.6E-148
4-hydroxycoumarin	0.27	1.9E-137
5-hydroxyhexanoate	0.27	1.5E-133
ursodeoxycholate	-0.26	3.0E-129
carotene diol (2)	0.25	1.0E-118
carotene diol (1)	0.25	4.8E-114
4-ethylcatechol sulfate	0.24	6.4E-112
glycoursodeoxycholic acid sulfate (1)	-0.24	2.3E-109
1H-indole-7-acetic acid	0.35	3.8E-108
hydroxy-CMPF*	0.24	1.5E-107
p-cresol sulfate	0.24	1.9E-107
phenylacetate	0.24	2.1E-105
imidazole propionate	-0.23	7.6E-104
beta-cryptoxanthin	0.23	1.9E-102
phenylacetylglutamine	0.23	3.1E-102
hippurate	0.23	1.1E-101
X - 16124	0.23	1.1E-95
X - 11299	0.23	1.5E-95
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	0.22	3.6E-93
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	0.22	4.4E-92
X - 18935	0.32	4.1E-90
L-urobilin	0.21	1.2E-84
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0.21	1.2E-81
X - 23997	0.21	3.8E-81
deoxycholate	-0.21	3.1E-79
deoxycholic acid 12-sulfate*	-0.20	6.5E-79
X - 11315	0.20	2.9E-78
perfluorooctanesulfonate (PFOS)	0.20	7.0E-77
carotene diol (3)	0.20	1.6E-73
phenol sulfate	-0.20	7.6E-73
indolepropionate	0.20	3.5E-72
X - 21842	0.19	9.4E-71
pregnanediol-3-glucuronide	0.19	1.4E-70
heptanoate (7:0)	0.19	5.2E-70
3-(3-hydroxyphenyl)propionate	-0.19	5.3E-70
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	0.19	5.4E-68
glycoursodeoxycholate	-0.19	4.6E-67
X - 12306	0.19	3.4E-66
3-hydroxypyridine sulfate	0.19	1.4E-64
4-hydroxychlorothalonil	0.18	1.2E-61
2-piperidinone	-0.18	1.2E-61
3-methyladipate	0.18	5.9E-61
p-cresol glucuronide*	0.18	6.8E-61
phenylacetylglutamate	0.18	7.0E-61
X - 13729	0.18	9.5E-61
X - 21733	0.18	1.6E-60
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	0.18	3.7E-59
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	-0.17	1.4E-56
X - 25523	0.17	1.0E-54
X - 17357	-0.17	2.0E-54
4-acetylcatechol sulfate (1)	0.17	2.6E-54
metabolonic lactone sulfate	-0.17	2.5E-53
1-linoleoyl-GPC (18:2)	0.17	4.2E-53
X - 26111	0.17	5.9E-53
X - 11483	0.17	1.4E-52
cortolone glucuronide (1)	-0.17	1.3E-51
octadecanedioate (C18-DC)	0.17	1.8E-51
glutarate (C5-DC)	-0.17	2.4E-51
X - 15461	-0.17	2.9E-51
3-hydroxy-2-methylpyridine sulfate	0.16	3.5E-51
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	-0.16	6.2E-51
taurolithocholate 3-sulfate	0.16	8.8E-51
glutamate	-0.16	1.8E-50
epiandrosterone sulfate	0.16	2.0E-50
catechol sulfate	0.16	3.4E-50
X - 12544	0.16	4.0E-50
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	0.16	6.0E-50
1-lignoceroyl-GPC (24:0)	0.16	5.4E-49
glycodeoxycholate	-0.16	2.7E-48
gamma-glutamylisoleucine*	-0.16	9.9E-48
indoleacetate	0.16	2.7E-46
4-oxo-retinoic acid	0.16	5.0E-46
etiocholanolone glucuronide	0.16	2.9E-45
glycodeoxycholate 3-sulfate	-0.15	4.1E-45
S-methylcysteine sulfoxide	0.15	5.6E-45
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	-0.15	7.2E-44
palmitoyl sphingomyelin (d18:1/16:0)	0.15	4.7E-43
phenol glucuronide	-0.15	5.8E-43
N-methyltaurine	0.15	1.1E-42
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	0.15	2.2E-42
gamma-glutamylglutamate	-0.15	3.2E-42
N-lactoyl isoleucine	-0.15	1.3E-41
glycochenodeoxycholate glucuronide (1)	-0.15	1.4E-41
dimethyl sulfone	0.15	2.6E-41
5alpha-pregnan-3beta,20alpha-diol disulfate	0.15	3.0E-41
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	0.15	5.1E-41
X - 24531	0.22	1.0E-40
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*	-0.15	2.8E-40
N-lactoyl phenylalanine	-0.15	4.0E-40
indole-3-carboxylate	0.15	7.1E-40
N-lactoyl tyrosine	-0.15	9.3E-40
isobutyrylcarnitine (C4)	0.15	9.9E-40
4-hydroxyglutamate	-0.14	1.4E-39
oxalate (ethanedioate)	0.14	1.6E-39
X - 12117	-0.14	1.8E-39
N-lactoyl valine	-0.14	3.4E-39
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	0.14	3.4E-39
X - 23782	0.14	5.4E-39
4-methylcatechol sulfate	0.14	1.5E-38
tartronate (hydroxymalonate)	0.14	2.5E-38
tauroursodeoxycholate	-0.14	3.7E-38
4-hydroxyhippurate	-0.14	4.7E-38
glycerate	0.14	6.8E-38
benzoylcarnitine*	0.17	1.1E-37
ribitol	-0.14	1.3E-37
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	0.14	4.0E-37
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	-0.14	5.2E-37
isobutyrylglycine	0.14	6.9E-37
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	-0.14	6.9E-37
phenylacetylcarnitine	0.14	1.4E-36
ergothioneine	0.14	1.8E-36
X - 24337	-0.14	2.2E-36
X - 12283	0.14	2.2E-36
X - 24411	-0.19	2.2E-36
X - 12726	0.14	2.4E-36
X - 21467	-0.14	5.4E-36
beta-sitosterol	0.14	1.1E-35
N-stearoyl-sphinganine (d18:0/18:0)*	-0.14	1.7E-35
N-lactoyl leucine	-0.14	1.9E-35
X - 12906	0.14	2.9E-35
arachidoylcarnitine (C20)*	0.14	1.3E-34
5-hydroxyindole sulfate	0.13	2.1E-34
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	-0.13	2.1E-34
X - 24410	-0.20	3.2E-34
X - 25520	0.13	4.3E-34
taurodeoxycholate	-0.13	4.4E-34
dihydroferulic acid sulfate	-0.13	6.3E-34
tigloylglycine	0.13	7.1E-34
X - 25419	0.13	7.7E-34
X - 23655	0.13	2.2E-33
aspartate	-0.13	2.2E-33
X - 24795	-0.13	2.5E-33
sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	0.13	2.5E-33
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	0.13	3.1E-33
N2,N5-diacetylornithine	0.13	3.8E-33
sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	0.13	4.0E-33
dihydroferulate	-0.13	1.1E-32
X - 17351	0.13	2.7E-32
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	0.13	5.3E-32
X - 24475	0.13	1.1E-31
1-(1-enyl-stearoyl)-GPE (P-18:0)*	0.13	1.5E-31
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	0.13	4.5E-31
X - 23974	0.13	5.5E-31
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	0.13	1.3E-30
N-acetylglycine	0.13	1.5E-30
S-methylmethionine	0.13	2.9E-30
cysteine-glutathione disulfide	0.13	4.8E-30
1-palmitoleoylglycerol (16:1)*	-0.13	6.7E-30
X - 21286	0.13	6.8E-30
X - 24811	0.13	7.6E-30
