biochem	r2
X - 11850	0.459
X - 12261	0.418
X - 11843	0.417
X - 12013	0.405
p-cresol sulfate	0.358
X - 12816	0.348
isoursodeoxycholate	0.339
X - 16124	0.319
phenylacetylglutamine	0.315
p-cresol glucuronide*	0.309
X - 23662	0.309
3-phenylpropionate (hydrocinnamate)	0.291
X - 21442	0.287
X - 12216	0.279
phenylacetate	0.274
X - 17354	0.273
quinate	0.270
cinnamoylglycine	0.268
phenol sulfate	0.266
5alpha-androstan-3beta,17alpha-diol disulfate	0.264
phenylacetylglutamate	0.263
1H-indole-7-acetic acid	0.251
X - 18935	0.248
ursodeoxycholate	0.246
X - 12851	0.245
deoxycholic acid 12-sulfate*	0.245
branched chain 14:0 dicarboxylic acid**	0.238
glycoursodeoxycholic acid sulfate (1)	0.233
5-hydroxyhexanoate	0.227
X - 24811	0.225
X - 22509	0.222
deoxycholate	0.222
X - 23639	0.219
X - 23997	0.218
beta-cryptoxanthin	0.216
X - 24531	0.212
trigonelline (N'-methylnicotinate)	0.211
X - 11315	0.211
X - 12126	0.204
glycoursodeoxycholate	0.198
X - 21752	0.197
hyocholate	0.195
carotene diol (1)	0.188
X - 12544	0.187
2-piperidinone	0.187
X - 12306	0.186
imidazole propionate	0.186
carotene diol (2)	0.185
cholate	0.183
levulinate (4-oxovalerate)	0.180
cholic acid glucuronide	0.179
hippurate	0.179
indolepropionate	0.178
X - 23655	0.173
3-hydroxypyridine sulfate	0.173
4-ethylcatechol sulfate	0.172
11beta-hydroxyetiocholanolone glucuronide*	0.167
X - 13729	0.164
1,3-dimethylurate	0.163
X - 21821	0.162
X - 15728	0.162
1-methylxanthine	0.161
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0.160
5-acetylamino-6-amino-3-methyluracil	0.158
X - 22834	0.155
X - 21733	0.152
4-hydroxycoumarin	0.150
chenodeoxycholate	0.149
phenol glucuronide	0.147
X - 22520	0.147
indole-3-carboxylate	0.147
glycodeoxycholate 3-sulfate	0.147
X - 24410	0.146
X - 12283	0.146
phenylacetylcarnitine	0.145
taurolithocholate 3-sulfate	0.144
3-ethylcatechol sulfate (1)	0.144
3-(3-hydroxyphenyl)propionate	0.142
androstenediol (3beta,17beta) disulfate (1)	0.140
X - 25503	0.136
N-acetyl-cadaverine	0.135
catechol sulfate	0.134
X - 13844	0.134
chenodeoxycholic acid sulfate (1)	0.134
1-methylurate	0.133
ursocholate	0.132
X - 17612	0.131
X - 17351	0.131
metabolonic lactone sulfate	0.131
hydroxy-CMPF*	0.130
lithocholate sulfate (1)	0.129
3-methyl catechol sulfate (1)	0.128
indoleacetate	0.127
X - 21286	0.126
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	0.124
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	0.124
propionylcarnitine (C3)	0.123
4-acetylcatechol sulfate (1)	0.122
glycodeoxycholate	0.121
oxalate (ethanedioate)	0.121
1,5-anhydroglucitol (1,5-AG)	0.119
glycolithocholate sulfate*	0.117
deoxycholic acid glucuronide	0.115
2,3-dihydroxypyridine	0.112
X - 23587	0.112
X - 26119	0.112
taurodeoxycholate	0.111
3-hydroxyhippurate	0.109
glutarate (C5-DC)	0.108
glycerate	0.108
gamma-glutamylisoleucine*	0.108
X - 24475	0.107
sphingomyelin (d18:2/24:2)*	0.107
4-methylguaiacol sulfate	0.107
citramalate	0.106
X - 15461	0.106
X - 18901	0.105
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	0.105
6-hydroxyindole sulfate	0.105
carotene diol (3)	0.105
X - 22162	0.104
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	0.104
glutamate	0.104
N,N-dimethylalanine	0.104
5alpha-androstan-3beta,17beta-diol disulfate	0.103
ergothioneine	0.103
methyl glucopyranoside (alpha + beta)	0.103
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	0.102
ethyl beta-glucopyranoside	0.102
4-vinylcatechol sulfate	0.101
isoleucine	0.100
X - 21842	0.100
3-indoxyl sulfate	0.100
hydroxycotinine	0.099
tartronate (hydroxymalonate)	0.099
X - 12456	0.098
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	0.098
sphingomyelin (d17:1/14:0, d16:1/15:0)*	0.097
4-methylcatechol sulfate	0.097
leucine	0.097
perfluorooctanesulfonate (PFOS)	0.096
taurodeoxycholic acid 3-sulfate	0.096
4-hydroxyglutamate	0.095
N-acetylglycine	0.095
X - 24352	0.095
X - 26062	0.095
dihydroferulate	0.094
alpha-hydroxyisovalerate	0.093
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	0.093
L-urobilin	0.093
2-acetamidophenol sulfate	0.093
X - 24795	0.092
pentose acid*	0.092
sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	0.092
S-methylmethionine	0.091
N-lactoyl isoleucine	0.091
3-hydroxy-2-methylpyridine sulfate	0.091
ethyl alpha-glucopyranoside	0.090
nicotinamide riboside	0.090
X - 24337	0.090
indoleacetoylcarnitine*	0.089
cotinine N-oxide	0.089
3-hydroxycotinine glucuronide	0.089
sphingomyelin (d18:2/23:1)*	0.088
X - 24411	0.088
3-hydroxyhippurate sulfate	0.088
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	0.088
X - 17438	0.087
argininate*	0.087
palmitoyl sphingomyelin (d18:1/16:0)	0.087
sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	0.087
tyramine O-sulfate	0.086
gamma-glutamylglutamate	0.086
ethyl glucuronide	0.085
theophylline	0.084
N-lactoyl valine	0.084
N-lactoyl phenylalanine	0.084
dihydrocaffeate sulfate (2)	0.083
citraconate/glutaconate	0.083
X - 24812	0.083
X - 21740	0.082
paraxanthine	0.082
formiminoglutamate	0.082
lithocholic acid sulfate (2)	0.082
X - 24473	0.082
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	0.082
indolin-2-one	0.082
S-methylcysteine sulfoxide	0.081
X - 23782	0.081
X - 21467	0.081
4-hydroxyhippurate	0.081
cortolone glucuronide (1)	0.081
diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*	0.080
taurochenodeoxycholic acid 3-sulfate	0.080
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	0.079
X - 16935	0.079
o-cresol sulfate	0.079
X - 25523	0.079
sphingomyelin (d18:2/21:0, d16:2/23:0)*	0.079
X - 12411	0.079
sphingomyelin (d17:2/16:0, d18:2/15:0)*	0.079
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	0.078
sphingomyelin (d18:1/20:1, d18:2/20:0)*	0.077
3-hydroxypyridine glucuronide	0.077
urate	0.077
4-methoxyphenol sulfate	0.077
3-methyladipate	0.077
X - 17357	0.077
X - 11299	0.076
5alpha-androstan-3alpha,17beta-diol disulfate	0.076
X - 21736	0.075
X - 17325	0.075
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	0.075
2-hydroxy-3-methylvalerate	0.074
4-hydroxyphenylacetate	0.074
pregnenetriol disulfate*	0.074
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	0.074
N-lactoyl leucine	0.074
beta-sitosterol	0.074
X - 11858	0.073
glycochenodeoxycholate glucuronide (1)	0.073
X - 12543	0.073
androstenediol (3beta,17beta) monosulfate (2)	0.073
2-hydroxydecanoate	0.073
3-methyl-2-oxovalerate	0.073
X - 25271	0.072
3-acetylphenol sulfate	0.072
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	0.072
X - 17367	0.072
1-lignoceroyl-GPC (24:0)	0.072
gamma-glutamylvaline	0.071
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	0.071
2-methoxyhydroquinone sulfate (1)	0.071
N-stearoyl-sphinganine (d18:0/18:0)*	0.071
tigloylglycine	0.071
X - 24757	0.071
N2,N5-diacetylornithine	0.071
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	0.071
gamma-glutamylleucine	0.071
X - 12906	0.070
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	0.070
3-methylcytidine	0.070
N-(2-furoyl)glycine	0.070
X - 11849	0.070
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*	0.070
2-furoylcarnitine	0.069
aspartate	0.069
cotinine	0.069
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	0.068
heneicosapentaenoate (21:5n3)	0.068
N-stearoyl-sphingosine (d18:1/18:0)*	0.068
N-lactoyl tyrosine	0.068
2-hydroxybutyrate/2-hydroxyisobutyrate	0.068
sphingomyelin (d18:1/14:0, d16:1/16:0)*	0.068
4-hydroxychlorothalonil	0.068
1-palmitoleoyl-GPC (16:1)*	0.067
octadecanedioate (C18-DC)	0.067
X - 11847	0.067
N-delta-acetylornithine	0.067
androstenediol (3beta,17beta) monosulfate (1)	0.066
valine	0.066
X - 11381	0.066
2,3-dihydroxyisovalerate	0.066
X - 24588	0.066
stachydrine	0.066
threonate	0.066
metformin	0.066
2-ethylphenylsulfate	0.066
dihydroferulic acid sulfate	0.066
N-acetylcarnosine	0.066
myristoleate (14:1n5)	0.066
campesterol	0.065
methylnaphthyl sulfate (2)*	0.065
methyl indole-3-acetate	0.065
tauroursodeoxycholate	0.065
tricosanoyl sphingomyelin (d18:1/23:0)*	0.065
pregnenetriol sulfate*	0.065
X - 12830	0.065
3,5-dichloro-2,6-dihydroxybenzoic acid	0.065
X - 11308	0.065
tetrahydrocortisone glucuronide (5)	0.065
guaiacol sulfate	0.064
tryptophan betaine	0.064
3b-hydroxy-5-cholenoic acid	0.064
X - 25420	0.064
X - 12111	0.064
tetrahydrocortisol glucuronide	0.064
sphingomyelin (d18:2/24:1, d18:1/24:2)*	0.064
2-aminophenol sulfate	0.064
X - 24556	0.063
X - 24736	0.063
